Device;Load Type;Profile;Number of Activations
Bathroom Light (100W);Apparent;Bath - light [Synthetic for Light Device];19
Bathroom Light (100W);Electricity;Bath - light [Synthetic for Light Device];19
Bathroom Light (100W);Inner Device Heat Gains;Bath - light [Synthetic for Light Device];19
Bathroom Light (100W);Reactive;Bath - light [Synthetic for Light Device];19
Bathroom Mirror Light 100W (Conventional);Apparent;Bath - light [Synthetic for Light Device];19
Bathroom Mirror Light 100W (Conventional);Electricity;Bath - light [Synthetic for Light Device];19
Bathroom Mirror Light 100W (Conventional);Inner Device Heat Gains;Bath - light [Synthetic for Light Device];19
Bathroom Mirror Light 100W (Conventional);Reactive;Bath - light [Synthetic for Light Device];19
Bathroom Sink 10L/min;Warm Water;0 h 01 min 100% [Synthetic];94
Bathroom Sink 10L/min;Warm Water;0 h 01 min 50% [Synthetic];4
Bauknecht GTE 260;Apparent;05 h 0 min Fridge, 1h 100%, 4h 0% [Synthetic];25
Bauknecht GTE 260;Electricity;05 h 0 min Fridge, 1h 100%, 4h 0% [Synthetic];25
Bauknecht GTE 260;Inner Device Heat Gains;05 h 0 min Fridge, 1h 100%, 4h 0% [Synthetic];25
Bauknecht GTE 260;Reactive;05 h 0 min Fridge, 1h 100%, 4h 0% [Synthetic];25
Beamer / Acer H7531D;Apparent;Standby PC 01 h 0 min 4% [Synthetic];119
Beamer / Acer H7531D;Electricity;Standby PC 01 h 0 min 4% [Synthetic];119
Beamer / Acer H7531D;Inner Device Heat Gains;Standby PC 01 h 0 min 4% [Synthetic];119
Beamer / Acer H7531D;Reactive;Standby PC 01 h 0 min 4% [Synthetic];119
Bed 1;None;08 h 0 min 100% [Synthetic];5
Bed 2;None;10 h 0 min 100% [Synthetic];5
Bed 3 (Children);None;08 h 0 min 100% [Synthetic];5
Bed 5;None;10 h 0 min 100% [Synthetic];5
Bedroom Light (200W);Apparent;Bedroom - light [Synthetic for Light Device];489
Bedroom Light (200W);Electricity;Bedroom - light [Synthetic for Light Device];489
Bedroom Light (200W);Inner Device Heat Gains;Bedroom - light [Synthetic for Light Device];489
Bedroom Light (200W);Reactive;Bedroom - light [Synthetic for Light Device];489
Board Games;None;01 h 0 min 100% [Synthetic];4
Book;None;0 h 01 min 100% [Synthetic];1241
Braun Multiquick 3 MR 300 Soup;Apparent;0 h 01 min 100% [Synthetic];1
Braun Multiquick 3 MR 300 Soup;Electricity;0 h 01 min 100% [Synthetic];1
Braun Multiquick 3 MR 300 Soup;Inner Device Heat Gains;0 h 01 min 100% [Synthetic];1
Braun Multiquick 3 MR 300 Soup;Reactive;0 h 01 min 100% [Synthetic];1
Bread Baking Machine Unold 6595;Apparent;Profile for Bread Baking Machine Unold 6595 Apparent [Measured 1 min Resolution (TUC)];1
Bread Baking Machine Unold 6595;Electricity;Profile for Bread Baking Machine Unold 6595 Electricity [Measured 1 min Resolution (TUC)];1
Bread Baking Machine Unold 6595;Inner Device Heat Gains;Profile for Bread Baking Machine Unold 6595 Electricity [Measured 1 min Resolution (TUC)];1
Bread Baking Machine Unold 6595;Reactive;Profile for Bread Baking Machine Unold 6595 Electricity [Measured 1 min Resolution (TUC)];1
CD/DVD Player / Philips DVDR 725 H;Apparent;01 h 30 min 100% [Synthetic];6
CD/DVD Player / Philips DVDR 725 H;Apparent;02 h 0 min 100% [Synthetic];2
CD/DVD Player / Philips DVDR 725 H;Apparent;Standby TV / Receiver 1 h 0 min 3% [Synthetic];120
CD/DVD Player / Philips DVDR 725 H;Electricity;01 h 30 min 100% [Synthetic];6
CD/DVD Player / Philips DVDR 725 H;Electricity;02 h 0 min 100% [Synthetic];2
CD/DVD Player / Philips DVDR 725 H;Electricity;Standby TV / Receiver 1 h 0 min 3% [Synthetic];120
CD/DVD Player / Philips DVDR 725 H;Inner Device Heat Gains;01 h 30 min 100% [Synthetic];6
CD/DVD Player / Philips DVDR 725 H;Inner Device Heat Gains;02 h 0 min 100% [Synthetic];2
CD/DVD Player / Philips DVDR 725 H;Inner Device Heat Gains;Standby TV / Receiver 1 h 0 min 3% [Synthetic];120
CD/DVD Player / Philips DVDR 725 H;Reactive;01 h 30 min 100% [Synthetic];6
CD/DVD Player / Philips DVDR 725 H;Reactive;02 h 0 min 100% [Synthetic];2
CD/DVD Player / Philips DVDR 725 H;Reactive;Standby TV / Receiver 1 h 0 min 3% [Synthetic];120
Canister Vacuum Cleaner / Siemens Z6.0 VSZ61260;Apparent;0 h 30 min 100% [Synthetic];1
Canister Vacuum Cleaner / Siemens Z6.0 VSZ61260;Electricity;0 h 30 min 100% [Synthetic];1
