Device;Load Type;Profile;Number of Activations
Active Speaker Trust Tytan 2.1;Apparent;Profile for Active Speaker Trust Tytan 2.1 1.5h Apparent [Measurement by ZSW (1min)];1
Active Speaker Trust Tytan 2.1;Apparent;Standby Generic 1h 0 min 10% [Synthetic];120
Active Speaker Trust Tytan 2.1;Electricity;Profile for Active Speaker Trust Tytan 2.1 1.5h Electricity [Measurement by ZSW (1min)];1
Active Speaker Trust Tytan 2.1;Electricity;Standby Generic 1h 0 min 10% [Synthetic];120
Active Speaker Trust Tytan 2.1;Inner Device Heat Gains;Profile for Active Speaker Trust Tytan 2.1 1.5h Electricity [Measurement by ZSW (1min)];1
Active Speaker Trust Tytan 2.1;Inner Device Heat Gains;Standby Generic 1h 0 min 10% [Synthetic];120
Active Speaker Trust Tytan 2.1;Reactive;Profile for Active Speaker Trust Tytan 2.1 1.5h Reactive [Measurement by ZSW (1min)];1
Active Speaker Trust Tytan 2.1;Reactive;Standby Generic 1h 0 min 10% [Synthetic];120
Bathroom Light (20W);Apparent;Bath - light [Synthetic for Light Device];28
Bathroom Light (20W);Electricity;Bath - light [Synthetic for Light Device];28
Bathroom Light (20W);Inner Device Heat Gains;Bath - light [Synthetic for Light Device];28
Bathroom Light (20W);Reactive;Bath - light [Synthetic for Light Device];28
Bathroom Mirror Light 10 W (LED);Apparent;Bath - light [Synthetic for Light Device];28
Bathroom Mirror Light 10 W (LED);Electricity;Bath - light [Synthetic for Light Device];28
Bathroom Mirror Light 10 W (LED);Inner Device Heat Gains;Bath - light [Synthetic for Light Device];28
Bathroom Mirror Light 10 W (LED);Reactive;Bath - light [Synthetic for Light Device];28
Bathroom Sink 5 L/Min;Cold Water;0 h 01 min 100% [Synthetic];1
Bathroom Sink 5 L/Min;Warm Water;0 h 01 min 100% [Synthetic];113
Bathroom Sink 5 L/Min;Warm Water;0 h 01 min 50% [Synthetic];10
Bauknecht GTE 260;Apparent;05 h 0 min Fridge, 1h 100%, 4h 0% [Synthetic];24
Bauknecht GTE 260;Electricity;05 h 0 min Fridge, 1h 100%, 4h 0% [Synthetic];24
Bauknecht GTE 260;Inner Device Heat Gains;05 h 0 min Fridge, 1h 100%, 4h 0% [Synthetic];24
Bauknecht GTE 260;Reactive;05 h 0 min Fridge, 1h 100%, 4h 0% [Synthetic];24
Bed 1;None;06 h 0 min 100% [Synthetic];5
Bed 2;None;08 h 0 min 100% [Synthetic];4
Bed 3 (Children);None;08 h 0 min 100% [Synthetic];5
Bed 4;None;10 h 0 min 100% [Synthetic];5
Bedroom Light (20W);Apparent;Bedroom - light [Synthetic for Light Device];264
Bedroom Light (20W);Electricity;Bedroom - light [Synthetic for Light Device];264
Bedroom Light (20W);Inner Device Heat Gains;Bedroom - light [Synthetic for Light Device];264
Bedroom Light (20W);Reactive;Bedroom - light [Synthetic for Light Device];264
Book;None;0 h 01 min 100% [Synthetic];344
Book;None;01 h 0 min 100% [Synthetic];2
CD/DVD Player / Philips DVDR 725 H;Apparent;01 h 30 min 100% [Synthetic];7
CD/DVD Player / Philips DVDR 725 H;Apparent;02 h 0 min 100% [Synthetic];5
CD/DVD Player / Philips DVDR 725 H;Apparent;Standby TV / Receiver 1 h 0 min 3% [Synthetic];121
