Reactive.Time;Time span;Bathroom Light (60W) [var];Bathroom Mirror Light 100W (Conventional) [var];Children Room Light Device (20W) [var];Living Room Light (60W) [var];Bedroom Light (200W) [var];Kitchen Light (20W) [var];Electric Kettle / Petra WK288 1.5L [var];CD/DVD Player / Philips DVDR 725 H [var];Phillips 32-9615 [var];SAT Receiver / Kathrein UFS913 [var];Egg Cooker / Russell Hobbs 14048-56 Stylo [var];Moulinex electronic 833 [var];Kitchen radio / AEG KRC 4323 CD [var];Single Stove Plate [var];Coffee Machine / Braun KF 580E [var];Food Slicer / DOMO Schneidemaschine DO521S [var];Toaster / Tefal Vario [var];Extractor Hood / Miele DA 429-4 [var];Kitchen Stove / Bauknecht Heko 750 PT Kitchen stove left hind - full power [var];Microwave / Panasonic NN-CD757W [var];Miele H 5241 B [var];Miele DA 61 [var];Kitchen Stove / Bauknecht Heko 750 PT Kitchen-stove right hind [var];Laptop Sony Vaio SVE151G11M [var];Washing Machine / Bosch WFS 8000 [var];Hair Dryer / Braun Satin Pro 2200 Ion Care [var];LED Lamp Globe E 14 Ambient 3W matt [var];Vacuum Cleaner FiF [var];Yamaha RX-V667 [var];Liebherr CBP 4056-20A [var];Electric Tooth Brush / Phillips HX9332 [var];Phone Siemens Gigaset C320 [var];Router / AVM FRITZ! Box Fon WLAN 7390 [var];
0;00:00:00;0;-59,14829547591503;0;0;0;0;0;0,22125470928300112;0,7219286488795825;0,2704721026448349;0;0;0,2714591827808326;-25,7309901639344;0;0;-10,2629326229508;0;0;4,923535422310228;0;0;0;-25,7462983606557;0;0;0;0;2,5326279728501198;0;0,4433151717870026;3,33918672131147;1,725278024119809;
1;00:01:00;0;-54,02895660153829;0;0;0;0;0;0,23281377478998566;0,7261428980458859;0,2704901030090166;0;0;0,28442309681789696;-25,7309901639344;0;0;-7,51704786885246;0;0;4,954970890019582;0;0;0;-25,7462983606557;0;0;0;0;2,5921283399445225;0;0,45201934166485236;3,33918672131147;1,7307583565168203;
2;00:02:00;0;-49,44358760782378;0;0;0;0;0;0,23306299516266174;0,7345026626605534;0,2856441947430889;0;0;0,2876223767385465;-25,7309901639344;0;0;-7,51704786885246;0;0;5,199142113529753;0;0;0;-25,7462983606557;0;0;0;0;2,6019344045769968;0;0,4574171017698346;3,33918672131147;1,7663424225318245;
3;00:03:00;0;-44,09500381356879;0;0;0;0;0;0,23777881718006869;0,7482329589109531;0,2944200008985672;0;0;0,2901259284015729;-25,4035836065574;0;0;-7,51704786885246;0;0;5,256544737151241;0;0;0;-25,7462983606557;0;0;0;0;2,619897602485413;0;0,4598421991668728;3,33918672131147;1,7688037996233632;
4;00:04:00;0;-42,11457513223745;0;0;0;0;0;0,24100177288497557;0,7492617761456258;0,2949857649180018;0;0;0,2957175810533711;-25,4035836065574;0;0;-7,51704786885246;0;0;5,372705041214115;0;0;0;-25,7462983606557;0;0;0;0;2,6318044770548563;0;0,465737467592785;3,33918672131147;1,7938573662888464;
5;00:05:00;0;-42,035213387465056;0;0;0;0;0;0,243645108054134;0,7518896588161086;0,2951620511710705;0;0;0,2963865865105143;-25,4035836065574;0;0;-7,51704786885246;0;0;5,429458554146053;0;0;0;-25,7462983606557;0;0;0;0;2,7131444197893506;0;0,46983282260709397;3,33918672131147;1,8372835528693288;
6;00:06:00;0;-36,01921835434959;0;0;0;0;0;0,24371171541452957;0,7538311289083132;0,2989490999831063;0;0;0,2970973612966609;-25,4035836065574;0;0;-7,51704786885246;0;0;5,437219561787186;0;0;0;-25,7462983606557;0;0;0;0;2,7174211615559805;0;0,472013302759854;3,33918672131147;1,8422467784004521;
7;00:07:00;0;-35,09847930877086;0;0;0;0;0;0,2437300179495655;0,7561325783870465;0,30017119453711705;0;0;0,3030580772008892;-25,4035836065574;0;0;0;0;0;5,458038094719812;0;0;0;-25,7462983606557;0;0;0;0;2,735942789156865;0;0,47203528489323143;3,33918672131147;1,8450990461135248;
8;00:08:00;0;-34,717296551173405;0;0;0;0;0;0,24500604561269457;0,7564367693510028;0,3050873963819829;0;0;0,30384769006093815;-25,4035836065574;0;0;0;0;0;5,491549529671681;0;0;0;-25,7462983606557;0;0;0;0;2,7649895612483637;0;0,47268555759706465;3,33918672131147;1,847976554572929;
9;00:09:00;0;-34,2603854627048;0;0;0;0;0;0,24676152925955436;0,7591472410421215;0,3072715462751378;0;0;0,305898579015537;-25,4035836065574;0;0;0;0;0;5,541752875508439;0;0;0;-25,7462983606557;0;0;0;0;2,789316592333509;0;0,4734114066042292;3,33918672131147;1,8532464075061352;
10;00:10:00;0;-32,9936775737726;0;0;0;0;0;0,24790913419223734;0,760041444455967;0,30841106947420116;0;0;0,3094837484970798;-25,0629573770492;0;0;0;0;0;5,546832689439394;0;0;0;-25,7462983606557;0;0;0;0;2,793257709686432;0;0,4736290681171643;3,33918672131147;1,8541717280922434;
11;00:11:00;0;-31,595062991133982;0;0;0;0;0;0,25120400276161564;0,7601615551442319;0,3086826679237057;0;0;0,3110458711408242;-25,0629573770492;0;0;0;0;0;5,550171249556682;0;0;0;-25,7264508196721;0;0;0;0;2,7995468184786008;0;0,4754567404148632;3,33918672131147;1,8566946144715404;
12;00:12:00;0;-31,507808463279243;0;0;0;0;0;0,2517103744365127;0,7617781857085537;0,3092870324948413;0;0;0,3125051978384157;-25,0629573770492;0;0;0;0;0;5,558058213670745;0;0;0;-25,7264508196721;0;0;0;0;2,804903055532167;0;0,47566739243212675;3,33918672131147;1,8581390452149216;
