------
CHR22 Anja (7/Female);Time;Basic Tagging;Tagging Set For Planning;Wo bleibt die Zeit;
go to primary school for 6h every day, with vacation;1228;work;go to primary school for 6h every day, with vacation;Work / School
go to the toilet;10;hygiene;go to the toilet;Hygiene
play with toys (1 h);67;recreation;play with toys (1 h);Games
read a book (1 h);59;recreation;read a book (1 h);Hobby
watch a movie for 2 h;223;recreation;watch a movie for 2 h;Media Use
play with wooden toys (2 h);105;recreation;play with wooden toys (2 h);Entertainment
eat a cooked meal (interrupting) (make soup);11;cooking;make soup;Food
sleep bed 03 (10 h) Child;749;sleeping;sleep bed 03 (10 h) Child;Sleep
play with toys (1_5 h);100;recreation;play with toys (1_5 h);Games
read a book on the couch all the time;110;shopping;read a book on the couch all the time;Entertainment
watch TV (1 h);59;recreation;watch TV (1 h);Media Use
play with wooden toys (1 h);56;recreation;play with wooden toys (1 h);Entertainment
read a book on the couch only 9:00 to 22:00;103;recreation;read a book on the couch only 9:00 to 22:00;Hobby
------
CHR22 Fiona (28/Female);Time;Basic Tagging;Tagging Set For Planning;Wo bleibt die Zeit;
work at the office (09 h);1628;work;work at the office (09 h);Work / School
take a shower with hair washing (women) (20 min hair drying);56;hygiene;take a shower with hair washing (women) (20 min hair drying);Hygiene
make soup;33;cooking;make soup;Food
go to the toilet;13;hygiene;go to the toilet;Hygiene
do laundry at 30°C (by variable);19;cleaning;do laundry at 30°C (by variable);Unpaid Work
wash 5 dishes by hand;26;cleaning;wash 5 dishes by hand;Unpaid Work
use the laptop (1_5 h);88;recreation;use the laptop (1_5 h);Media Use
read a book on the couch only 9:00 to 22:00;136;recreation;read a book on the couch only 9:00 to 22:00;Hobby
sleep bed 01 (08 h);498;sleeping;sleep bed 01 (08 h);Sleep
get ready in the morning (women);22;hygiene;get ready in the morning (women);Hygiene
hang up laundry outside;32;cleaning;hang up laundry outside;Unpaid Work
go shopping for food in the supermarket (1_5 h);97;shopping;go shopping for food in the supermarket (1_5 h);Unpaid Work
take a shower without hair washing (women);66;hygiene;take a shower without hair washing (women);Hygiene
wash 3 dishes by hand;34;cleaning;wash 3 dishes by hand;Unpaid Work
use the laptop for Internet, Movie, Music, News (2 h);132;recreation;use the laptop for Internet, Movie, Music, News (2 h);Media Use
