Reactive.Time;Calender;Calender for Excel;Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday;
0;00:00:00;'00:00:00;21,939468483176267;;;73,01866469973855;22,654537901748363;20,41373256184649;20,769228156734005;
1;00:01:00;'00:01:00;21,035082808798006;;;72,85306665944276;21,670142980623744;20,248912185707024;20,387022573819316;
2;00:02:00;'00:02:00;19,86745493876686;;;71,20024120270506;18,54079484645286;21,338341144975125;22,659698133474315;
3;00:03:00;'00:03:00;22,275889873835116;;;72,70087831209892;20,22189545122737;21,154773864599143;21,30391980778566;
4;00:04:00;'00:04:00;21,21146254399967;;;73,42993641198576;20,24489607201957;22,81159578518217;22,447289315350826;
5;00:05:00;'00:05:00;20,155602060362025;;;72,45361583602768;21,52202280017233;20,17842896428019;22,955230103646546;
6;00:06:00;'00:06:00;20,602286304867146;;;70,74457922244929;21,445448790096123;21,464412341169098;21,231159039617193;
7;00:07:00;'00:07:00;21,259886320466993;;;74,09511749857703;21,03026995339127;20,102237943917036;21,987324449831842;
8;00:08:00;'00:08:00;22,6273360499137;;;73,3718841735102;22,926244397680037;20,680451869853652;20,800345984592855;
9;00:09:00;'00:09:00;21,409515189482043;;;70,65673762235038;20,339154602004683;20,27157382795;21,5545957219115;
10;00:10:00;'00:10:00;20,58268829415095;;;71,11871721607373;20,19276217235533;20,490679236179307;20,921635932363575;
11;00:11:00;'00:11:00;21,402396041725186;;;71,03916708339588;22,77481605247516;20,990327253347953;20,503637127382895;
12;00:12:00;'00:12:00;20,10400656293822;;;73,26362656017386;20,837282679897925;20,512546529668725;22,282775508019274;
13;00:13:00;'00:13:00;23,174278419852374;;;76,80486924655345;22,0503739835317;20,618390002715554;22,099018493203488;
14;00:14:00;'00:14:00;20,202875239334396;;;70,19768373831062;21,419401375815703;21,323427956307196;20,335665282652503;
15;00:15:00;'00:15:00;20,987648570223154;;;72,4263209775596;20,935768755219826;22,803959644399622;20,996386960109767;
16;00:16:00;'00:16:00;20,13806364011673;;;73,6432365973857;20,594120084400732;21,82451721640544;20,35257137233424;
17;00:17:00;'00:17:00;21,3834008817998;;;77,13044103756083;20,21833948463291;20,8921595584262;21,94618660463187;
18;00:18:00;'00:18:00;21,12582646564299;;;74,48003325132049;19,780146443701618;20,55283113800548;21,200582240485517;
19;00:19:00;'00:19:00;22,358170568474936;;;73,97323030883493;18,812132219322223;19,51367082260811;22,359430725078724;
20;00:20:00;'00:20:00;20,76869155898315;;;69,55731733364833;20,47517643125884;19,763934029734408;20,57395780633891;
21;00:21:00;'00:21:00;19,329921327657885;;;75,91371759622537;19,893079126101085;21,22868733495322;19,633743829829868;
22;00:22:00;'00:22:00;20,923886592314123;;;75,06213862704796;20,44378860200978;20,78723776790648;19,439764941862617;
23;00:23:00;'00:23:00;20,80562185370582;;;71,08906766176314;19,102891424558983;20,82247775320354;19,516412169348918;
24;00:24:00;'00:24:00;20,129376984530307;;;72,88930403615721;20,012166722845386;20,531160894134874;21,631860002656;
25;00:25:00;'00:25:00;22,058277444217133;;;71,3559330163552;22,00024512327926;20,915787933180315;20,140951919432833;
26;00:26:00;'00:26:00;20,478347880071606;;;70,38114219475705;23,942587394438057;21,42805477872069;19,64594455726232;
27;00:27:00;'00:27:00;20,308534010072695;;;72,66718639371227;22,289283346437102;22,00060043337213;19,959325502000016;
28;00:28:00;'00:28:00;20,23547432948911;;;73,28340042744162;21,612568289943532;20,773453622443856;20,825798055684963;
29;00:29:00;'00:29:00;21,17669137785535;;;71,15136929179725;21,536047515870365;21,63797125298854;21,745216516380886;
30;00:30:00;'00:30:00;20,55644651390543;;;74,10085207358375;20,646701111870573;20,008224383905752;21,21028783115086;
31;00:31:00;'00:31:00;22,022880478316075;;;73,69288902186037;20,196155404030154;20,052337423569178;19,735859617617525;
32;00:32:00;'00:32:00;20,543139074220807;;;68,4851038226514;21,96130067274911;21,877336868808115;20,54681268777954;
33;00:33:00;'00:33:00;19,584345069052574;;;71,5650230353617;21,3850963119032;21,75970858727132;19,70968915883902;
34;00:34:00;'00:34:00;21,275562195293958;;;70,40061766392733;20,78120637151691;20,727690388414576;22,062616096137383;
35;00:35:00;'00:35:00;20,20593273942217;;;70,44638253781581;21,317281695737492;21,067601288076542;22,00868186476004;
36;00:36:00;'00:36:00;20,630040708973866;;;69,31854264252868;20,131887015350355;21,078726332998578;21,015342439549826;
37;00:37:00;'00:37:00;20,586623994022574;;;76,75019142927903;20,424085600393415;21,918510398594787;21,19268209273035;
38;00:38:00;'00:38:00;21,959741077959663;;;73,11570220700114;20,523361245278554;22,033069223600112;23,564101501549054;
39;00:39:00;'00:39:00;19,15974463807312;;;74,61448193637399;20,077335132630996;20,086200515390374;19,875932300454448;
40;00:40:00;'00:40:00;22,104130104048703;;;74,41898720644507;21,346980325978002;19,662589236251574;20,31602366342095;
41;00:41:00;'00:41:00;19,094564075724634;;;72,87135224728712;21,43716122238025;21,40687501162009;22,70943802307031;
42;00:42:00;'00:42:00;19,792329464887793;;;70,94948104110779;22,16161994520945;22,85148751063582;19,589178069379408;
43;00:43:00;'00:43:00;18,83441710402103;;;72,05635099858661;21,475967826351358;22,25660635056132;19,23687657925609;
44;00:44:00;'00:44:00;21,71801887694374;;;75,16327049646746;20,973305027689047;21,841474890005948;20,962286544323508;
45;00:45:00;'00:45:00;22,947699632940793;;;72,93329988594746;22,188831381639933;20,173335121595823;20,68233389636157;
46;00:46:00;'00:46:00;21,21196782613511;;;73,72193576248984;22,483906632738634;21,07202077136334;19,56892441282024;
47;00:47:00;'00:47:00;20,842788273907733;;;75,79403352745592;21,004314294324022;57,005467648681545;20,56945905407585;
48;00:48:00;'00:48:00;20,650274496114527;;;69,85920229332643;21,99207308278917;59,2146861664606;20,165373382868648;
49;00:49:00;'00:49:00;20,694202688064227;;;69,90711782906631;20,892024727721857;55,30187266914252;22,705220819426593;
50;00:50:00;'00:50:00;20,505584192440907;;;72,11257674452582;21,31129967062402;61,85006908395319;21,27810559986438;
51;00:51:00;'00:51:00;20,12642863319933;;;70,93561747419315;21,90053734307818;59,15803481453806;20,861048585080503;
52;00:52:00;'00:52:00;20,68186378105347;;;71,86977295456026;20,76138116426514;64,52500672885155;19,71086197750519;
53;00:53:00;'00:53:00;21,286866231945382;;;73,25636739584185;21,25654390872276;56,63246557236626;20,661708996597852;
54;00:54:00;'00:54:00;21,943535940660105;;;70,91883843505926;21,860110928574258;64,19487227525099;21,500755091578043;
55;00:55:00;'00:55:00;22,833557025216635;;;72,52024678279834;21,61032402309231;60,02443079735785;23,12198801004977;
56;00:56:00;'00:56:00;22,11814931063592;;;70,51754038476331;19,22366434523612;60,1632852517853;20,345730094973934;
57;00:57:00;'00:57:00;22,073156781572948;;;73,9789323511084;20,864563794392012;50,47154975399956;20,912923502944125;
58;00:58:00;'00:58:00;21,523105060031128;;;72,20143625916141;19,95373264614865;66,78939878278229;21,02032944510424;
59;00:59:00;'00:59:00;21,989361348237445;;;73,64580437634262;21,09978038487386;51,24528480087662;20,88208578710103;
60;01:00:00;'01:00:00;22,765982430780177;;;53,30237105388198;20,62184267682371;55,90283535297991;22,39782115153025;
61;01:01:00;'01:01:00;21,215652351260296;;;53,36327765835866;20,891147048168214;56,21792787221973;20,422253506593535;
