Reactive.Time;Calender;Calender for Excel;Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday;
0;00:00:00;'00:00:00;46,38898171120186;;;87,49933880828097;20,68922446853179;146,13369563229097;148,27351731499823;
1;00:01:00;'00:01:00;47,90295947936271;;;86,5475722832157;152,42225059429703;147,03586483882341;147,67318381806197;
2;00:02:00;'00:02:00;50,7093921000631;;;83,32421389537393;151,7519573493019;145,88065745451814;146,62893886721662;
3;00:03:00;'00:03:00;50,25611086041183;;;84,12880674207892;146,56135672000352;146,70829004708278;148,62079454721987;
4;00:04:00;'00:04:00;50,52241160776095;;;94,65779661946132;146,98353890996648;146,1454678765799;145,9443427418716;
5;00:05:00;'00:05:00;57,08230905157065;;;88,34933214496903;148,47594210270702;146,2432497827408;146,2936858775261;
6;00:06:00;'00:06:00;47,73870147431555;;;88,16819671457732;148,5191509966525;147,2049964302572;145,16085011596712;
7;00:07:00;'00:07:00;50,096724642087935;;;88,66271805455732;147,0797093570828;146,67555418251175;145,64284249833497;
8;00:08:00;'00:08:00;46,51278552055012;;;90,10948655260722;148,33206684737397;145,88865325250194;146,1798803244647;
9;00:09:00;'00:09:00;46,54883036171725;;;89,65400184854187;147,98040083149823;146,69926993333004;145,2401123014569;
10;00:10:00;'00:10:00;52,72986360949989;;;87,5976762261033;147,6177243607433;145,7781250470367;146,79627197947426;
11;00:11:00;'00:11:00;47,45279892196409;;;83,77379103833762;145,74365855745688;146,38169568821272;146,561083029799;
12;00:12:00;'00:12:00;49,936917224601636;;;85,41588063625633;146,12074036410948;146,923092271245;144,15562013308067;
13;00:13:00;'00:13:00;48,03539242509784;;;89,90636710705307;144,83046862905385;146,16663002263672;147,0673850209416;
14;00:14:00;'00:14:00;52,834886145062136;;;87,37846904127412;145,79296175006914;146,9505546063133;146,32775711073555;
15;00:15:00;'00:15:00;51,01370687904128;;;86,54326418080971;146,19126093160313;20,373714191574184;146,09931275764885;
16;00:16:00;'00:16:00;53,20945740611002;;;88,44110096026586;145,58727524208078;21,570847567360854;145,22962976555525;
17;00:17:00;'00:17:00;48,3636715246278;;;87,611615791291;146,3688505171645;20,57075620299942;146,24130502215874;
18;00:18:00;'00:18:00;51,71280994211161;;;93,7557230221802;147,10929750462967;21,6259979715172;146,0232697063003;
19;00:19:00;'00:19:00;47,46721365436407;;;87,63410445307608;147,0782511719574;20,951196064420802;146,16769530536502;
20;00:20:00;'00:20:00;51,5827959162151;;;90,40809529033459;145,85976309329104;21,416427889869112;146,4115020793042;
21;00:21:00;'00:21:00;59,78601917860549;;;91,3744753315901;145,71482727435477;21,64715821824144;146,39192942435935;
22;00:22:00;'00:22:00;46,64844105611494;;;88,5177103338801;147,31309060194823;21,563239418729605;146,18889044581542;
23;00:23:00;'00:23:00;50,69740989139495;;;88,15740927717123;146,68319503661226;20,494010633340277;146,47498243017856;
24;00:24:00;'00:24:00;55,82424912180868;;;88,92325856323008;146,45217573291802;21,801063889927768;145,9313236376496;
25;00:25:00;'00:25:00;48,02818920323233;;;87,06765174377003;145,7524992001847;20,478977982075104;146,40633091356855;
26;00:26:00;'00:26:00;52,09359729414454;;;90,51109507076087;145,85402520963987;20,26409842114385;146,65130994373004;
27;00:27:00;'00:27:00;181,3015684376288;;;88,25459711958423;147,2206752168363;20,077845786534883;146,54773636273396;
28;00:28:00;'00:28:00;177,72436187773553;;;88,54599001174583;146,65534808040024;20,434656086506706;146,0131042212058;
29;00:29:00;'00:29:00;176,98175291679598;;;91,1794944326531;147,45336415091944;21,385967803808466;145,37782817919052;
