Device name;Usage sum in this simulation [None];Usage sum in this simulation linear extrapolated to 1 year [None];Comparison Value from the device entry [None];Percentage of the comparison value [1 = 100%];Device Category;
Board Games;0;0;0;0;Other;
Cleanser;0;0;0;0;Cleaning devices;
Cloth Drying Rack;2220;405150;0;0;Furniture;
Supermarket;10740;1960050;0;0;Other;
Couch;0;0;0;0;Furniture;
Opera;0;0;0;0;Other;
Desk 2;0;0;0;0;Furniture;
Puzzle;0;0;0;0;Other;
Sunbed;0;0;0;0;Furniture / Garden furniture;
Sunbed 2;0;0;0;0;Furniture / Garden furniture;
Book;0;0;0;0;Other;
Book;0;0;0;0;Other;
Couch;0;0;0;0;Furniture;
Magazine;0;0;0;0;Other;
Newspaper;0;0;0;0;Other;
Bed 2;149100;27210750;0;0;Furniture;
Cinema;0;0;0;0;Other;
Schoolbook;0;0;0;0;Other;
School (with holidays);0;0;0;0;External locations;
Bed 3 (Children);0;0;0;0;Furniture;
Bed 1;0;0;0;0;Furniture;
Office;135840;24790800;0;0;Other;
Schoolbook;0;0;0;0;Other;
Toys;0;0;0;0;Other;
Wooden Toys;42300;7719750;0;0;Other;
School (with holidays);0;0;0;0;External locations;
Bed 5;0;0;0;0;Furniture;
Sums;340200;62086500;0
