CHR44 Christopher (16/Male)
Hour;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;
go to the toilet;0;0;0;2;0;0;0;0;1;1;0;0;0;1;1;0;0;0;1;0;0;0;0;0
play a puzzle game;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
use the laptop for Internet, Movie, Music, News (2 h);0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0
eat small breakfast (25min) interruping subaff, no alarm;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Replacement Activity A;0;0;0;0;1;0;2;5;6;2;0;0;0;0;7;15;9;0;0;5;0;0;0;0
Replacement Activity C;0;0;0;0;4;0;1;3;9;3;0;0;0;0;4;11;8;0;0;3;0;0;0;0
Replacement Activity B;0;0;0;0;4;0;1;5;8;1;0;0;0;0;1;19;6;0;0;4;0;0;0;0
watch TV with someone (watch a movie for 2 h with home cinema system);0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
take a shower (men);0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
get ready in the morning (men);0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
paint a picture;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
play Wii;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
listen to music on hifi (2 h);0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
relax in the garden;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
Replacement Activity D;0;0;0;0;6;0;0;5;8;3;0;0;0;0;4;22;11;0;0;9;0;0;0;0
watch a movie for 1 h 30 min with home cinema system;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
sleep bed 03 (08 h) Child;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
play board games (1 h);0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
join watching a movie in the home cinema (watch a movie for 2 h with home cinema system);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
CHR44 Barbara (43/Female)
Hour;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;
