-----
128b5aa8-48b6-4c15-98e9-78d6ad19e915
Bedroom;1681;0,5836805555555555;
Living room;904;0,3138888888888889;
Children's room;0;0;
Bath;116;0,04027777777777778;
Kitchen;84;0,029166666666666667;
Garden;95;0,03298611111111111;
Children's room 3;0;0;
Office Workplace 1;0;0;
Supermarket;0;0;
-----
2995e109-209e-4d8a-ae6c-e072aef39ef5
Bedroom;349;0,12118055555555556;
Living room;1653;0,5739583333333333;
Children's room;605;0,21006944444444445;
Bath;59;0,02048611111111111;
Kitchen;53;0,01840277777777778;
Garden;161;0,05590277777777778;
Children's room 3;0;0;
Office Workplace 1;0;0;
Supermarket;0;0;
-----
c6f98242-e8dc-4b7c-8684-cd65e9ce1183
Bedroom;767;0,26631944444444444;
Living room;1412;0,49027777777777776;
Children's room;0;0;
Bath;98;0,034027777777777775;
Kitchen;25;0,008680555555555556;
Garden;0;0;
Children's room 3;0;0;
Office Workplace 1;578;0,20069444444444445;
Supermarket;0;0;
-----
c233d474-6ce5-4b63-b710-11915da6a283
Bedroom;0;0;
Living room;1147;0,39826388888888886;
Children's room;841;0,2920138888888889;
Bath;92;0,03194444444444444;
Kitchen;25;0,008680555555555556;
Garden;0;0;
Children's room 3;775;0,2690972222222222;
Office Workplace 1;0;0;
Supermarket;0;0;
