------
CHR44 Christopher (16/Male);Time;Basic Tagging;Tagging Set For Planning;Wo bleibt die Zeit;
go to the toilet;232;hygiene;go to the toilet;Hygiene
play a puzzle game;59;recreation;play a puzzle game;Games
use the laptop for Internet, Movie, Music, News (2 h);484;recreation;use the laptop for Internet, Movie, Music, News (2 h);Media Use
eat small breakfast (25min) interruping subaff, no alarm;48;cooking;eat small breakfast (25min) interruping subaff, no alarm;Food
Replacement Activity A;70;recreation;Replacement Activity A;Media Use
Replacement Activity C;65;recreation;Replacement Activity C;Media Use
Replacement Activity B;75;recreation;Replacement Activity B;Media Use
watch TV with someone (watch a movie for 2 h with home cinema system);160;recreation;watch a movie for 2 h with home cinema system;Media Use
take a shower (men);38;hygiene;take a shower (men);Hygiene
get ready in the morning (men);22;hygiene;get ready in the morning (men);Hygiene
paint a picture;64;recreation;paint a picture;Hobby
play Wii;113;recreation;play Wii;Games
listen to music on hifi (2 h);264;recreation;listen to music on hifi (2 h);Media Use
relax in the garden;181;recreation;relax in the garden;Hobby
Replacement Activity D;108;recreation;Replacement Activity D;Media Use
watch a movie for 1 h 30 min with home cinema system;95;recreation;watch a movie for 1 h 30 min with home cinema system;Media Use
sleep bed 03 (08 h) Child;748;sleeping;sleep bed 03 (08 h) Child;Sleep
play board games (1 h);52;recreation;play board games (1 h);Games
join watching a movie in the home cinema (watch a movie for 2 h with home cinema system);2;recreation;watch a movie for 2 h with home cinema system;Media Use
------
CHR44 Barbara (43/Female);Time;Basic Tagging;Tagging Set For Planning;Wo bleibt die Zeit;
play puzzle game together (play a puzzle game);259;recreation;play a puzzle game;Games
sleep bed 02 (10 h);982;sleeping;sleep bed 02 (10 h);Sleep
eat small breakfast (25min) interruping subaff, no alarm;52;cooking;eat small breakfast (25min) interruping subaff, no alarm;Food
go to the toilet;22;hygiene;go to the toilet;Hygiene
do laundry at 30°C (by variable);16;cleaning;do laundry at 30°C (by variable);Unpaid Work
clean the bath;54;cleaning;clean the bath;Unpaid Work
use the laptop for Internet, Movie, Music, News (2 h);389;recreation;use the laptop for Internet, Movie, Music, News (2 h);Media Use
hang up laundry outside;27;cleaning;hang up laundry outside;Unpaid Work
take a shower without hair washing (women);64;hygiene;take a shower without hair washing (women);Hygiene
bake bread;81;cooking;bake bread;Food
watch TV with someone (watch a movie for 1 h 30 min with home cinema system);65;recreation;watch a movie for 1 h 30 min with home cinema system;Media Use
paint a picture;35;recreation;paint a picture;Hobby
fry two eggs and eat them with toast;16;cooking;fry two eggs and eat them with toast;Food
run the dishwasher (triggered);17;cleaning;run the dishwasher (triggered);Unpaid Work
vacuum the household;50;cleaning;vacuum the household;Unpaid Work
play Wii;66;recreation;play Wii;Games
get ready in the morning (women);20;hygiene;get ready in the morning (women);Hygiene
play board games (1 h);66;recreation;play board games (1 h);Games
invite friends for coffee;213;recreation;invite friends for coffee;Contacts
take a shower with hair washing (women) (20 min hair drying);63;hygiene;take a shower with hair washing (women) (20 min hair drying);Hygiene
go shopping for food in the supermarket (1_5 h);79;shopping;go shopping for food in the supermarket (1_5 h);Unpaid Work
watch a movie for 2 h with home cinema system;129;recreation;watch a movie for 2 h with home cinema system;Media Use
make soup;14;cooking;make soup;Food
listen to music on hifi (2 h);101;recreation;listen to music on hifi (2 h);Media Use
------
CHR44 Sandy (14/Female);Time;Basic Tagging;Tagging Set For Planning;Wo bleibt die Zeit;
go to the toilet;416;hygiene;go to the toilet;Hygiene
take a shower with hair washing (women) (5 min hair drying);65;hygiene;take a shower with hair washing (women) (5 min hair drying);Hygiene
get ready in the morning (children);21;hygiene;get ready in the morning (children);Hygiene
eat small breakfast (25min) interruping subaff, no alarm;58;cooking;eat small breakfast (25min) interruping subaff, no alarm;Food
watch TV with someone (watch a movie for 2 h with home cinema system);105;recreation;watch a movie for 2 h with home cinema system;Media Use
use the laptop for Internet, Movie, Music, News (2 h);349;recreation;use the laptop for Internet, Movie, Music, News (2 h);Media Use
play with toys (1_5 h);94;recreation;play with toys (1_5 h);Games
paint a picture;24;recreation;paint a picture;Hobby
play Wii;62;recreation;play Wii;Games
read a book on the couch only 9:00 to 22:00;340;recreation;read a book on the couch only 9:00 to 22:00;Hobby
join watching a movie in the home cinema (watch a movie for 1 h 30 min with home cinema system);4;recreation;watch a movie for 1 h 30 min with home cinema system;Media Use
play with wooden toys (1 h);70;recreation;play with wooden toys (1 h);Entertainment
play with toys 30min;26;recreation;play with toys 30min;Games
sleep bed 05 (10 h) Child;795;sleeping;sleep bed 05 (10 h) Child;Sleep
play board games (1 h);74;recreation;play board games (1 h);Games
take a shower without hair washing (women);62;hygiene;take a shower without hair washing (women);Hygiene
watch a movie for 2 h with home cinema system;100;recreation;watch a movie for 2 h with home cinema system;Media Use
play with toys (2 h);132;recreation;play with toys (2 h);Games
relax in the garden 2;83;recreation;relax in the garden 2;Hobby
------
CHR44 Rainer (45/Male);Time;Basic Tagging;Tagging Set For Planning;Wo bleibt die Zeit;
get ready in the morning (men);427;hygiene;get ready in the morning (men);Hygiene
watch a movie for 2 h with home cinema system;234;recreation;watch a movie for 2 h with home cinema system;Media Use
work at the office (09 h);1129;work;work at the office (09 h);Work / School
take a shower (men);43;hygiene;take a shower (men);Hygiene
go to the toilet;17;hygiene;go to the toilet;Hygiene
watch a movie for 1 h 30 min with home cinema system;98;recreation;watch a movie for 1 h 30 min with home cinema system;Media Use
read a book on the couch all the time;117;shopping;read a book on the couch all the time;Entertainment
sleep bed 01 (08 h);601;sleeping;sleep bed 01 (08 h);Sleep
eat small breakfast (25min) interruping subaff, no alarm;24;cooking;eat small breakfast (25min) interruping subaff, no alarm;Food
use the laptop for Internet, Movie, Music, News (2 h);131;recreation;use the laptop for Internet, Movie, Music, News (2 h);Media Use
play board games (1 h);59;recreation;play board games (1 h);Games
