Electricity.Timestep;Time;Sum [kWh]
0;16/04/2025 00:00;0.0007323910259463491
1;16/04/2025 00:01;0.0007219273319292014
2;16/04/2025 00:02;0.0007422407255471159
3;16/04/2025 00:03;0.0006923943091332297
4;16/04/2025 00:04;0.0007138183259798804
5;16/04/2025 00:05;0.0007353073099033311
6;16/04/2025 00:06;0.0007460141165339665
7;16/04/2025 00:07;0.0007046355839887858
8;16/04/2025 00:08;0.0006955791320326126
9;16/04/2025 00:09;0.0007192452562663137
10;16/04/2025 00:10;0.0007168513571306336
11;16/04/2025 00:11;0.0007085589596644535
12;16/04/2025 00:12;0.0007367629799294469
13;16/04/2025 00:13;0.0007416997120242561
14;16/04/2025 00:14;0.0007025024684227748
15;16/04/2025 00:15;0.000735418685642347
16;16/04/2025 00:16;0.0007032359886470942
17;16/04/2025 00:17;0.0007009352612079966
18;16/04/2025 00:18;0.0007239262275818999
19;16/04/2025 00:19;0.0007214619059914384
20;16/04/2025 00:20;0.0007269583660173711
21;16/04/2025 00:21;0.0006869485627068191
22;16/04/2025 00:22;0.0007388749748753244
23;16/04/2025 00:23;0.0007058625932434793
24;16/04/2025 00:24;0.0007382464321956505
25;16/04/2025 00:25;0.0007590985911453949
26;16/04/2025 00:26;0.0007106792383357756
27;16/04/2025 00:27;0.0007078510911728292
28;16/04/2025 00:28;0.0007130621140015642
29;16/04/2025 00:29;0.0007597622758341342
30;16/04/2025 00:30;0.0007504986131035375
31;16/04/2025 00:31;0.0007294238528389675
32;16/04/2025 00:32;0.0007144601101539263
33;16/04/2025 00:33;0.000755215730494404
34;16/04/2025 00:34;0.0006865437977269877
35;16/04/2025 00:35;0.0006984465253836461
36;16/04/2025 00:36;0.0007332161277362544
37;16/04/2025 00:37;0.0007132838547911396
38;16/04/2025 00:38;0.0007080930937696517
39;16/04/2025 00:39;0.0007219691843798168
40;16/04/2025 00:40;0.0007337518344806963
41;16/04/2025 00:41;0.0007364270956625904
42;16/04/2025 00:42;0.0007265711971257837
43;16/04/2025 00:43;0.0007005282450766848
44;16/04/2025 00:44;0.000762249969499376
45;16/04/2025 00:45;0.0007263177305605405
46;16/04/2025 00:46;0.0007237784833017436
47;16/04/2025 00:47;0.0006964235321663232
48;16/04/2025 00:48;0.0007322892590412108
49;16/04/2025 00:49;0.0007361722072416907
50;16/04/2025 00:50;0.0007428617931222672
51;16/04/2025 00:51;0.0006893591992207626
52;16/04/2025 00:52;0.0007228906062894296
53;16/04/2025 00:53;0.0007111631483952265
54;16/04/2025 00:54;0.0007025628671010202
55;16/04/2025 00:55;0.000743036353130434
56;16/04/2025 00:56;0.0007254379474939558
57;16/04/2025 00:57;0.0006947893940759183
58;16/04/2025 00:58;0.0007092921182659264
59;16/04/2025 00:59;0.0007422718137051193
60;16/04/2025 01:00;0.0007177457967953535
61;16/04/2025 01:01;0.0007072190312127314
62;16/04/2025 01:02;0.0007220513236172877
63;16/04/2025 01:03;0.0007135341263714374
64;16/04/2025 01:04;0.0007104254849287057
65;16/04/2025 01:05;0.0006964042222264502
66;16/04/2025 01:06;0.0007395020322654224
67;16/04/2025 01:07;0.0007395975273146788
68;16/04/2025 01:08;0.0007192747793146666
69;16/04/2025 01:09;0.000752557532778316
70;16/04/2025 01:10;0.0007060934709725774
71;16/04/2025 01:11;0.0006985638858057992
72;16/04/2025 01:12;0.0007300536362761615
73;16/04/2025 01:13;0.0007448744202510468
74;16/04/2025 01:14;0.0007026672505061736
75;16/04/2025 01:15;0.0007364966754846669
76;16/04/2025 01:16;0.000711805423301905
77;16/04/2025 01:17;0.0007039414531160802
78;16/04/2025 01:18;0.0007408462827831815
79;16/04/2025 01:19;0.0007189020146578327
80;16/04/2025 01:20;0.0007034667024904246
81;16/04/2025 01:21;0.0007325643593052442
82;16/04/2025 01:22;0.0007240972076950235
83;16/04/2025 01:23;0.0006961697985720456
84;16/04/2025 01:24;0.0007290684509048446
85;16/04/2025 01:25;0.0007202791553544054
86;16/04/2025 01:26;0.0007175912649780693
87;16/04/2025 01:27;0.0007167534854626003
88;16/04/2025 01:28;0.0007298827504666006
89;16/04/2025 01:29;0.0007582113476375989
90;16/04/2025 01:30;0.0007188562774062435
91;16/04/2025 01:31;0.000713121704718413
92;16/04/2025 01:32;0.0007287013991694242
93;16/04/2025 01:33;0.0007387163757860064
94;16/04/2025 01:34;0.0007166198200327176
95;16/04/2025 01:35;0.000724104645508847
96;16/04/2025 01:36;0.0007367584821166822
97;16/04/2025 01:37;0.0007132802150319942
98;16/04/2025 01:38;0.0007200038883901502
99;16/04/2025 01:39;0.0007286266087441843
100;16/04/2025 01:40;0.0006919722907912898
101;16/04/2025 01:41;0.000714207052229676
102;16/04/2025 01:42;0.0007238045137532748
103;16/04/2025 01:43;0.0007356407292305358
104;16/04/2025 01:44;0.0007408986794855825
105;16/04/2025 01:45;0.0006870901015413724
106;16/04/2025 01:46;0.0007004391542517443
107;16/04/2025 01:47;0.0007203952153632666
108;16/04/2025 01:48;0.000677476948417367
109;16/04/2025 01:49;0.0006959257072555891
110;16/04/2025 01:50;0.0007117184765308508
111;16/04/2025 01:51;0.0007277318567323408
112;16/04/2025 01:52;0.0007201791011415946
113;16/04/2025 01:53;0.0007208703870208032
114;16/04/2025 01:54;0.0007391481250517136
115;16/04/2025 01:55;0.0007151800354641425
116;16/04/2025 01:56;0.0006979583711383623
117;16/04/2025 01:57;0.0007242301550069256
118;16/04/2025 01:58;0.0006988031754154731
119;16/04/2025 01:59;0.0007580578583616065
120;16/04/2025 02:00;0.0007046052209268803
121;16/04/2025 02:01;0.0007140669852475615
122;16/04/2025 02:02;0.0007141633859755409
123;16/04/2025 02:03;0.0007263210361869012
124;16/04/2025 02:04;0.0006981961781148432
125;16/04/2025 02:05;0.0007238572098608192
126;16/04/2025 02:06;0.0007580394194484478
127;16/04/2025 02:07;0.0007029724561662396
128;16/04/2025 02:08;0.0007437747259455775
129;16/04/2025 02:09;0.0007143885089291968
130;16/04/2025 02:10;0.0007429305816600787
131;16/04/2025 02:11;0.0007208823383267248
132;16/04/2025 02:12;0.0007347608631982778
133;16/04/2025 02:13;0.000696403281708298
134;16/04/2025 02:14;0.000688942096327242
135;16/04/2025 02:15;0.00073694436140062
136;16/04/2025 02:16;0.0007322869641016431
137;16/04/2025 02:17;0.000706595760214765
138;16/04/2025 02:18;0.0007198254172818217
139;16/04/2025 02:19;0.0007189298489864359
140;16/04/2025 02:20;0.0007447588322567197
141;16/04/2025 02:21;0.0007325697088775763
142;16/04/2025 02:22;0.0007218212193845939
143;16/04/2025 02:23;0.0007248422832315552
144;16/04/2025 02:24;0.0007106783615838312
145;16/04/2025 02:25;0.0007259341348634422
146;16/04/2025 02:26;0.000703836698835777
147;16/04/2025 02:27;0.0007165571818525612
148;16/04/2025 02:28;0.0007010062636619553
149;16/04/2025 02:29;0.0006893553329182689
150;16/04/2025 02:30;0.0007477034919467174
151;16/04/2025 02:31;0.0007412768057393201
152;16/04/2025 02:32;0.0007035783549036615
153;16/04/2025 02:33;0.0007260816743752034
154;16/04/2025 02:34;0.0007142838920650229
155;16/04/2025 02:35;0.0007485188630691356
156;16/04/2025 02:36;0.0007174659161742866
157;16/04/2025 02:37;0.0007114775870283645
158;16/04/2025 02:38;0.0007280762829131043
159;16/04/2025 02:39;0.0007077426860955054
160;16/04/2025 02:40;0.0007121023619424327
161;16/04/2025 02:41;0.0007037378294635332
162;16/04/2025 02:42;0.0007122860388522401
163;16/04/2025 02:43;0.0007301901173269807
164;16/04/2025 02:44;0.000718673950040514
165;16/04/2025 02:45;0.0007270011542694745
166;16/04/2025 02:46;0.0007195876966539321
167;16/04/2025 02:47;0.0007296383075777509
168;16/04/2025 02:48;0.0007027399870982573
169;16/04/2025 02:49;0.0007002227702968499
170;16/04/2025 02:50;0.000718589431320903
171;16/04/2025 02:51;0.0007159392905251151
172;16/04/2025 02:52;0.000730150563628888
173;16/04/2025 02:53;0.0007166991149774094
174;16/04/2025 02:54;0.000710193008430836
175;16/04/2025 02:55;0.0006995079060404048
176;16/04/2025 02:56;0.000713257796721356
177;16/04/2025 02:57;0.0007004804533118016
178;16/04/2025 02:58;0.0007234265411820263
179;16/04/2025 02:59;0.0007026027498284507
180;16/04/2025 03:00;0.0007046988260311586
181;16/04/2025 03:01;0.0007001739922634217
182;16/04/2025 03:02;0.0006932115967141005
183;16/04/2025 03:03;0.0006913495382860382
184;16/04/2025 03:04;0.0006972544648489915
185;16/04/2025 03:05;0.0007084795863564148
