-----
Destatis Water Usage Statistics
Tag;Energy Used [kWh];Percentage;Reference Value;
NoWater;0,00014783918008969333;0,8305;;
Dishwashing;1,6767523010018206E-05;0,0942;;
Laundry;1,339882727801626E-05;0,0753;;

Sum;0,00017800553037772783;1;
-----
Energieagentur.NRW Tags
Tag;Energy Used [kWh];Percentage;Reference Value;
Light;3,526315789473683E-06;0,0198;;
Office;2,897198361952537E-05;0,1628;;
Cooling;1,4280856333333322E-05;0,0802;;
TV/Audio;8,550074680606466E-06;0,0480;;
Washing;2,5677292131039934E-05;0,1442;;
Cooking;4,206306830443844E-05;0,2363;;
Dish washing;1,6767523010018206E-05;0,0942;;
Other;9,487997072809154E-06;0,0533;;
Drying;2,8680419436483236E-05;0,1611;;

Sum;0,00017800553037772783;1;
