Electricity.Time;Calender;Calender for Excel;Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday;
0;00:00:00;'00:00:00;27,644494783473533;;;43,68201235084632;26,992459458481072;104,57328643818252;26,622357250683002;
1;00:01:00;'00:01:00;27,431124319472936;;;43,39123331744521;26,733740600522182;103,13150714177968;27,509791274566616;
2;00:02:00;'00:02:00;27,631577372002816;;;42,73327114402926;27,961528715514127;103,19375452484431;27,151342881355514;
3;00:03:00;'00:03:00;26,450493175567303;;;44,02075497451633;27,968030190924175;103,06543899918672;28,062732012668096;
4;00:04:00;'00:04:00;27,852214563592693;;;41,89236908795247;27,335728607618627;104,71029728086448;28,231220727330346;
5;00:05:00;'00:05:00;26,220893597378687;;;42,89136399126521;28,227721621124136;104,2602925506231;27,50505669223126;
6;00:06:00;'00:06:00;30,674342928643366;;;42,47302063099176;26,63146341929741;47,899859650324316;26,65993327303276;
7;00:07:00;'00:07:00;27,29479894335911;;;42,888866677476514;27,422736582856455;27,712564635101927;28,61489444078925;
8;00:08:00;'00:08:00;27,140166760817774;;;42,88385783892111;27,24978218992686;27,675838225504876;27,052468789287428;
9;00:09:00;'00:09:00;27,05916138132113;;;42,820908011712405;26,840231929241767;27,560273822884575;28,095232731803996;
10;00:10:00;'00:10:00;27,24178973534325;;;42,84590360075329;27,457636861570766;27,163176409342796;28,074467920249838;
11;00:11:00;'00:11:00;27,558021689631772;;;42,40187966965406;28,814469679862174;26,775514929775916;27,104755893857718;
12;00:12:00;'00:12:00;28,42968384373313;;;44,5178049510754;26,51364850471243;27,857500725410894;27,32958649644833;
13;00:13:00;'00:13:00;26,439473551010156;;;41,91611966463186;28,875949145059014;27,250196279757564;25,90061807056213;
14;00:14:00;'00:14:00;28,026169154998676;;;43,8403385519282;27,24306368289557;27,13444388129734;27,028375243987966;
15;00:15:00;'00:15:00;27,61799314071949;;;43,49028749269239;26,499875986936562;27,599795957218706;26,480250220103486;
16;00:16:00;'00:16:00;26,4160652692626;;;43,89257013027906;26,097929182600005;26,53441168285499;29,613268090973733;
17;00:17:00;'00:17:00;27,174749754214254;;;43,18413622903014;27,15623827299864;28,337612916988647;27,620246117257963;
