-----
eec84b9b-adb7-40f5-9a79-d13d5de22d69
Bedroom;778;0,2701388888888889;
Living room;1104;0,38333333333333336;
Bath;177;0,06145833333333333;
Kitchen;329;0,11423611111111111;
School;492;0,17083333333333334;
Office Workplace 1;0;0;
Supermarket;0;0;
Garden;0;0;
-----
657c3288-7056-45b0-9d95-a1732733f2ba
Bedroom;815;0,2829861111111111;
Living room;1250;0,4340277777777778;
Bath;84;0,029166666666666667;
Kitchen;223;0,07743055555555556;
School;0;0;
Office Workplace 1;508;0,1763888888888889;
Supermarket;0;0;
Garden;0;0;
