-----
bfce5c44-06dd-4321-920a-b3dea792fb09
Bedroom;564;0,19583333333333333;
Living room;1248;0,43333333333333335;
Bath;150;0,052083333333333336;
Kitchen;141;0,04895833333333333;
Walking Location;242;0,08402777777777778;
Workplace (shift worker);535;0,1857638888888889;
Garden;0;0;
Supermarket;0;0;
-----
baffabe5-402c-4487-9c86-51034fad45fc
Bedroom;1215;0,421875;
Living room;776;0,26944444444444443;
Bath;191;0,06631944444444444;
Kitchen;61;0,021180555555555557;
Walking Location;0;0;
Workplace (shift worker);535;0,1857638888888889;
Garden;102;0,035416666666666666;
Supermarket;0;0;
