Electricity.Timestep;Time;Sum [kWh]
0;16/04/2025 00:00;0.0009675807142963249
1;16/04/2025 00:01;0.0009512344463666921
2;16/04/2025 00:02;0.001059311850046608
3;16/04/2025 00:03;0.0009923628365853525
4;16/04/2025 00:04;0.0010461516234433607
5;16/04/2025 00:05;0.0010792010472643865
6;16/04/2025 00:06;0.0009871886908239676
7;16/04/2025 00:07;0.001028497683395342
8;16/04/2025 00:08;0.0009700023862868125
9;16/04/2025 00:09;0.0010089756190300356
10;16/04/2025 00:10;0.000977900811056457
11;16/04/2025 00:11;0.0009561656070370547
12;16/04/2025 00:12;0.0010431817714579082
13;16/04/2025 00:13;0.001042761541015373
14;16/04/2025 00:14;0.000951035723959984
15;16/04/2025 00:15;0.0009787246808957127
16;16/04/2025 00:16;0.0009398458767514389
17;16/04/2025 00:17;0.0010266189876512108
18;16/04/2025 00:18;0.0009843801146098632
19;16/04/2025 00:19;0.0010414336615236666
20;16/04/2025 00:20;0.0009599221606934654
21;16/04/2025 00:21;0.000910610477986131
22;16/04/2025 00:22;0.0009039885114800932
23;16/04/2025 00:23;0.0009024386839262304
24;16/04/2025 00:24;0.0010143397188638573
25;16/04/2025 00:25;0.0009304345442630991
26;16/04/2025 00:26;0.0009124673872543635
27;16/04/2025 00:27;0.0009271621333498763
28;16/04/2025 00:28;0.0009571733610058354
29;16/04/2025 00:29;0.0010049667540303821
30;16/04/2025 00:30;0.0009996566916658045
31;16/04/2025 00:31;0.0009254349069832044
32;16/04/2025 00:32;0.000962929995331065
33;16/04/2025 00:33;0.0009167659854958035
34;16/04/2025 00:34;0.0010299492692124816
35;16/04/2025 00:35;0.001030018771987962
36;16/04/2025 00:36;0.0009783183490909286
37;16/04/2025 00:37;0.0009892868835219238
38;16/04/2025 00:38;0.0011085980546396328
39;16/04/2025 00:39;0.0009259772071185479
40;16/04/2025 00:40;0.0009460505680129604
41;16/04/2025 00:41;0.00106797513615367
42;16/04/2025 00:42;0.0009055750981675933
43;16/04/2025 00:43;0.0008952612579596731
44;16/04/2025 00:44;0.000982148627215921
45;16/04/2025 00:45;0.0009640843469710279
46;16/04/2025 00:46;0.0009037317611854211
47;16/04/2025 00:47;0.0009619864990374472
48;16/04/2025 00:48;0.0009367589601135483
49;16/04/2025 00:49;0.0010658415870230013
50;16/04/2025 00:50;0.0009906846417572738
51;16/04/2025 00:51;0.0009690688306982387
52;16/04/2025 00:52;0.00091867246974529
53;16/04/2025 00:53;0.0009684130837547783
54;16/04/2025 00:54;0.0010124069647951754
55;16/04/2025 00:55;0.0010892110410384884
56;16/04/2025 00:56;0.0009497345674742605
57;16/04/2025 00:57;0.0009787366607646182
58;16/04/2025 00:58;0.0009812485114139952
59;16/04/2025 00:59;0.0009830647285012505
60;16/04/2025 01:00;0.0010530188536764383
61;16/04/2025 01:01;0.0009525061489120799
62;16/04/2025 01:02;0.0009874214373701688
63;16/04/2025 01:03;0.000934385836950299
64;16/04/2025 01:04;0.000936965535378156
65;16/04/2025 01:05;0.0010005918730901316
