Apparent.Timestep;Time;Sum [kWh]
0;16/04/2025 00:00;0.003982545194226577
1;16/04/2025 00:01;0.0037404482536507063
2;16/04/2025 00:02;0.0036584435540541276
3;16/04/2025 00:03;0.003802775347657381
4;16/04/2025 00:04;0.00402938301677713
5;16/04/2025 00:05;0.003982040609635606
6;16/04/2025 00:06;0.003728453751711782
7;16/04/2025 00:07;0.0039325398797653765
8;16/04/2025 00:08;0.0036429454649506013
9;16/04/2025 00:09;0.004312290739272164
10;16/04/2025 00:10;0.0037352588869864153
11;16/04/2025 00:11;0.00401255970134842
12;16/04/2025 00:12;0.003987408353645658
13;16/04/2025 00:13;0.0037576165317001124
14;16/04/2025 00:14;0.003996461368999808
15;16/04/2025 00:15;0.003993701408763579
16;16/04/2025 00:16;0.004387849286328352
17;16/04/2025 00:17;0.0036691598351004536
18;16/04/2025 00:18;0.003852543794544039
19;16/04/2025 00:19;0.003520968698667301
20;16/04/2025 00:20;0.004183837794641544
21;16/04/2025 00:21;0.0040071965838444825
22;16/04/2025 00:22;0.0032576260640445336
23;16/04/2025 00:23;0.0034802297179516305
24;16/04/2025 00:24;0.0016408703868051506
25;16/04/2025 00:25;0.0016265272241370319
26;16/04/2025 00:26;0.0016242216748680175
27;16/04/2025 00:27;0.002928141225961385
28;16/04/2025 00:28;0.0031750833353151554
29;16/04/2025 00:29;0.003077464051073785
30;16/04/2025 00:30;0.00293475696616841
31;16/04/2025 00:31;0.0032679264687625062
32;16/04/2025 00:32;0.0033986858017083727
33;16/04/2025 00:33;0.0035291197385845154
34;16/04/2025 00:34;0.0029695894591027666
35;16/04/2025 00:35;0.003256873078086035
36;16/04/2025 00:36;0.0030476985497680928
37;16/04/2025 00:37;0.0033077139992240697
38;16/04/2025 00:38;0.003033893499700076
39;16/04/2025 00:39;0.003475331918319899
40;16/04/2025 00:40;0.003365454154633856
41;16/04/2025 00:41;0.003550088603681425
42;16/04/2025 00:42;0.00357120440359844
43;16/04/2025 00:43;0.0034720204063450055
44;16/04/2025 00:44;0.003510688249507564
45;16/04/2025 00:45;0.0035150377096443987
46;16/04/2025 00:46;0.0033304415923753198
47;16/04/2025 00:47;0.003221687385613665
48;16/04/2025 00:48;0.0033665697898784684
49;16/04/2025 00:49;0.003126069669291431
50;16/04/2025 00:50;0.002848663624030287
51;16/04/2025 00:51;0.003585282200404434
52;16/04/2025 00:52;0.0034533022389361366
53;16/04/2025 00:53;0.0032467325327368048
54;16/04/2025 00:54;0.0033864716981981094
55;16/04/2025 00:55;0.0031892129837094324
56;16/04/2025 00:56;0.0031921079627273
57;16/04/2025 00:57;0.003469025588472454
58;16/04/2025 00:58;0.0034361168176310474
59;16/04/2025 00:59;0.003435606936637595
60;16/04/2025 01:00;0.0033417300195559404
61;16/04/2025 01:01;0.0032225654033651813
62;16/04/2025 01:02;0.003295024703699929
63;16/04/2025 01:03;0.0031334350075922957
64;16/04/2025 01:04;0.003468759511571242
65;16/04/2025 01:05;0.003136236378129667
66;16/04/2025 01:06;0.00335438624667101
67;16/04/2025 01:07;0.0033778172108939433
68;16/04/2025 01:08;0.0037056348965557044
69;16/04/2025 01:09;0.0034493817888371467
70;16/04/2025 01:10;0.003400103538686446
71;16/04/2025 01:11;0.003309895726394775
72;16/04/2025 01:12;0.0034569689860527346
73;16/04/2025 01:13;0.003386220166648838
74;16/04/2025 01:14;0.0034248658563900904
75;16/04/2025 01:15;0.0029684902125171123
76;16/04/2025 01:16;0.0031198478058579223
77;16/04/2025 01:17;0.0032775792470884535
78;16/04/2025 01:18;0.0030455448676317653
79;16/04/2025 01:19;0.0033280780374587544
80;16/04/2025 01:20;0.003196629651962834
81;16/04/2025 01:21;0.003296299615298758
82;16/04/2025 01:22;0.0035069438964883343
83;16/04/2025 01:23;0.003405784890587749
84;16/04/2025 01:24;0.001689402255669909
85;16/04/2025 01:25;0.0017502520718579082
86;16/04/2025 01:26;0.0016578209738081092
87;16/04/2025 01:27;0.001697183822509755
88;16/04/2025 01:28;0.00162660245323484
89;16/04/2025 01:29;0.0015401948856901223
90;16/04/2025 01:30;0.001712126697974893
91;16/04/2025 01:31;0.001660441942721172
92;16/04/2025 01:32;0.001577476123255513
93;16/04/2025 01:33;0.001700190279454473
94;16/04/2025 01:34;0.0016461518231344367
95;16/04/2025 01:35;0.0017176084095937559
96;16/04/2025 01:36;0.0016452015205513327
97;16/04/2025 01:37;0.0016724149962871137
98;16/04/2025 01:38;0.0017665099841975918
99;16/04/2025 01:39;0.001713064841974682
100;16/04/2025 01:40;0.001702835690835176
101;16/04/2025 01:41;0.001610494861567185
102;16/04/2025 01:42;0.0016799679069413344
103;16/04/2025 01:43;0.0016636276433721156
104;16/04/2025 01:44;0.0016524078584048505
105;16/04/2025 01:45;0.0016862152883235304
106;16/04/2025 01:46;0.0017277245764471625
107;16/04/2025 01:47;0.001750117693511513
108;16/04/2025 01:48;0.0015994879184569625
109;16/04/2025 01:49;0.0016850433389252468
110;16/04/2025 01:50;0.001614370139039172
111;16/04/2025 01:51;0.0015801542982186495
112;16/04/2025 01:52;0.0017574078498234324
113;16/04/2025 01:53;0.0016248508944631645
114;16/04/2025 01:54;0.00170528287300414
115;16/04/2025 01:55;0.0015717798194816183
116;16/04/2025 01:56;0.0017644239287703224
117;16/04/2025 01:57;0.001757264842166036
118;16/04/2025 01:58;0.001681447832342053
119;16/04/2025 01:59;0.0017377918382947297
120;16/04/2025 02:00;0.0016308973538861167
121;16/04/2025 02:01;0.0016363355006823175
122;16/04/2025 02:02;0.0016810449224316213
123;16/04/2025 02:03;0.0017027256755037976
124;16/04/2025 02:04;0.0017362332918462724
125;16/04/2025 02:05;0.0017686773481715213
126;16/04/2025 02:06;0.001684907371326264
127;16/04/2025 02:07;0.0017132620930520042
128;16/04/2025 02:08;0.0016859548021991631
129;16/04/2025 02:09;0.0016737950480642334
130;16/04/2025 02:10;0.001697941034577432
