Reactive.Timestep;Time;Sum [kWh]
0;16/04/2025 00:00;0.0010763350974834483
1;16/04/2025 00:01;0.0009995092255672923
2;16/04/2025 00:02;0.0009751802274117624
3;16/04/2025 00:03;0.0010270384151823085
4;16/04/2025 00:04;0.0010942783156584167
5;16/04/2025 00:05;0.0010748655534159118
6;16/04/2025 00:06;0.0009958431654099986
7;16/04/2025 00:07;0.0010623997259900484
8;16/04/2025 00:08;0.0009723102427897206
9;16/04/2025 00:09;0.0011689774828620159
10;16/04/2025 00:10;0.0010015735844832755
11;16/04/2025 00:11;0.0010796784061958425
12;16/04/2025 00:12;0.0010634765197118103
13;16/04/2025 00:13;0.0009945756053151636
14;16/04/2025 00:14;0.0010818194932340412
15;16/04/2025 00:15;0.0010765397961103244
16;16/04/2025 00:16;0.001199681948079998
17;16/04/2025 00:17;0.0009660994937775924
18;16/04/2025 00:18;0.0010335041394057517
19;16/04/2025 00:19;0.0009261636814535403
20;16/04/2025 00:20;0.0011353024259206936
21;16/04/2025 00:21;0.001070433537564726
22;16/04/2025 00:22;0.0008405494261070389
23;16/04/2025 00:23;0.0009142573437994557
24;16/04/2025 00:24;0.0003380587077530672
25;16/04/2025 00:25;0.0003352347552730069
26;16/04/2025 00:26;0.000335791654445714
27;16/04/2025 00:27;0.0007406427070239521
28;16/04/2025 00:28;0.0008212647556421549
29;16/04/2025 00:29;0.0007783785453415169
30;16/04/2025 00:30;0.0007354210287609074
31;16/04/2025 00:31;0.0008461543482354064
32;16/04/2025 00:32;0.0008720426103858891
33;16/04/2025 00:33;0.0009261809275395069
34;16/04/2025 00:34;0.0007481817095800412
35;16/04/2025 00:35;0.0008334372403790266
36;16/04/2025 00:36;0.0007761915903339896
37;16/04/2025 00:37;0.0008363881913196936
38;16/04/2025 00:38;0.0007483470271363097
39;16/04/2025 00:39;0.000886710361807169
40;16/04/2025 00:40;0.0008516609134001539
41;16/04/2025 00:41;0.000895871078499111
42;16/04/2025 00:42;0.0009226331478631813
