-----
1a87315e-a99f-4d4a-8c09-97e062c05250
Bedroom;310;0,1076388888888889;
Living room;1324;0,4597222222222222;
Children's room 2;60;0,020833333333333332;
Children's room;0;0;
Bath;102;0,035416666666666666;
Kitchen;385;0,13368055555555555;
Children's room 3;699;0,24270833333333333;
Bar Location;0;0;
School;0;0;
Supermarket;0;0;
Shopping Mall;0;0;
Community College;0;0;
-----
47742842-aac8-4e8a-a6de-4f1a60aeab36
Bedroom;94;0,03263888888888889;
Living room;322;0,11180555555555556;
Children's room 2;876;0,30416666666666664;
Children's room;1285;0,4461805555555556;
Bath;42;0,014583333333333334;
Kitchen;261;0,090625;
Children's room 3;0;0;
Bar Location;0;0;
School;0;0;
Supermarket;0;0;
Shopping Mall;0;0;
Community College;0;0;
-----
b9aa3523-b1df-4144-80e1-33808aced9a0
Bedroom;1101;0,38229166666666664;
Living room;838;0,29097222222222224;
Children's room 2;65;0,022569444444444444;
Children's room;185;0,0642361111111111;
Bath;229;0,07951388888888888;
Kitchen;462;0,16041666666666668;
Children's room 3;0;0;
Bar Location;0;0;
School;0;0;
Supermarket;0;0;
Shopping Mall;0;0;
Community College;0;0;
-----
49c96a71-25bf-4a13-9300-ab62a380ee31
Bedroom;76;0,02638888888888889;
Living room;1511;0,5246527777777777;
Children's room 2;0;0;
Children's room;866;0,30069444444444443;
Bath;113;0,03923611111111111;
Kitchen;314;0,10902777777777778;
Children's room 3;0;0;
Bar Location;0;0;
School;0;0;
Supermarket;0;0;
Shopping Mall;0;0;
Community College;0;0;
-----
22ce01ec-4edf-4ff0-a4ff-0f4fa0a6cfe4
Bedroom;769;0,2670138888888889;
Living room;1140;0,3958333333333333;
Children's room 2;122;0,04236111111111111;
Children's room;342;0,11875;
Bath;95;0,03298611111111111;
Kitchen;197;0,06840277777777778;
Children's room 3;0;0;
Bar Location;215;0,07465277777777778;
School;0;0;
Supermarket;0;0;
Shopping Mall;0;0;
Community College;0;0;
