-----
Destatis Water Usage Statistics
Tag;Energy Used [kWh];Percentage;Reference Value;
NoWater;0,0001451789954510465;0,9072;;
Dishwashing;7,302761574671517E-06;0,0456;;
Laundry;7,544728364888883E-06;0,0471;;

Sum;0,0001600264853906069;1;
-----
Energieagentur.NRW Tags
Tag;Energy Used [kWh];Percentage;Reference Value;
Light;4,94241700478382E-06;0,0309;;
TV/Audio;6,074270603918287E-05;0,3796;;
Office;1,101645923477541E-05;0,0688;;
Cooling;6,206106504065448E-06;0,0388;;
Washing;1,4195629527218966E-05;0,0887;;
Freezing;4,932625075842755E-06;0,0308;;
Cooking;4,173006070211046E-05;0,2608;;
Dish washing;7,302761574671517E-06;0,0456;;
Other;4,478688433788346E-07;0,0028;;
Drying;8,509850884576837E-06;0,0532;;

Sum;0,0001600264853906069;1;
