-----
Destatis Water Usage Statistics
Tag;Energy Used [kWh];Percentage;Reference Value;
NoWater;0,00046250623672436397;0,9099;;
Dishwashing;2,2218176843986727E-05;0,0437;;
Laundry;2,3577276140277756E-05;0,0464;;

Sum;0,0005083016897086284;1;
-----
Energieagentur.NRW Tags
Tag;Energy Used [kWh];Percentage;Reference Value;
Light;1,5036982095907122E-05;0,0296;673,8;
TV/Audio;0,0001850044764998151;0,3640;613,2;
Office;5,6475493841532924E-05;0,1111;702,6;
Cooling;1,8881675159461112E-05;0,0371;474,1;
Washing;3,935633691477581E-05;0,0774;335,5;
Freezing;1,5007190789340185E-05;0,0295;298,9;
Cooking;0,00012906807823933144;0,2539;503,3;
Dish washing;2,2218176843986727E-05;0,0437;380,4;
Other;1,3626118097043778E-06;0,0027;407,9;
Drying;2,5890667514773634E-05;0,0509;534,2;

Sum;0,0005083016897086284;1;
