Device name;Usage sum in this simulation [kWh];Usage sum in this simulation linear extrapolated to 1 year [kWh];Comparison Value from the device entry [kWh];Percentage of the comparison value [1 = 100%];Device Category;Energieagentur.NRW Tags;
Bedroom Light (200W);1,1766666666666665;214,74166666666665;0;0;(no category);Light;
Living Room Light (Energy Saving Lamp, 20W);0,6209999999999999;113,33249999999998;0;0;(no category);Light;
Kitchen Light (60W);0,7759999999999999;141,61999999999998;0;0;(no category);Light;
Bathroom Light (200W);0,8066666666666665;147,21666666666664;0;0;(no category);Light;
Bathroom Mirror Light 30W (CFL);0,1261379145530644;23,02016940593425;0;0;(no category);Light;
Children Room Light Device (20W);0;0;0;0;(no category);Light;
Bread Baking Machine Unold 6595;0,29372529889999993;53,60486704924999;0;0;Kitchen equipment / Breadmaker;Cooking;
Toaster Salco MT 400;0,6649509077751364;121,3535406689624;0;0;Kitchen equipment / Toaster;Cooking;
Single Stove Plate;8,821525987103884;1609,9284926464588;0;0;Kitchen equipment / Kitchen stove / Kitchen stove front left;Cooking;
Electric Kettle / Petra WK288 1.5L;1,7884429951148617;326,39084660846225;0;0;Kitchen equipment / Electric kettle;Cooking;
Oven / AEG B 33512-5-M;0;0;83;0;Kitchen equipment / Baking oven / Normal sized Baking oven;Cooking;
Handmixer / Phillips Robust HR 1581;0;0;1;0;Kitchen equipment / Handmixer;Cooking;
PC / Acer Aspire T310;0,5700033159587932;104,02560516247975;135;0,7705600382405907;Computers and Components / Computer / PC;Office;
PC Monitor / Fujitsu Siemens Scaleoview D19-1;0,46328441683450294;84,54940607229679;72;1,1742973065596776;Computers and Components / Monitor / TFT display;Office;
Epson Stylus Color 860;0,015906545817819407;2,9029446117520417;30;0,09676482039173472;Computers and Components / Printer / Ink jet printer;Office;
TASKalfa 180;0,8195587767393498;149,56947675493134;29;5,15756816396315;Computers and Components / Computer component / Photocopier;Office;
Canon CanoScan LIDE 110;0,0004696420216617761;0,08570966895327414;4;0,021427417238318536;Computers and Components / Computer component / Scanner;Office;
External Harddrive Iomega 3.5";0,08536419725462252;15,57896599896861;0;0;Computers and Components / Computer component / External Harddrives;Office;
Food Slicer / DOMO Schneidemaschine DO521S;0,0705096474972348;12,868010668245352;1;12,868010668245352;Kitchen equipment / Food slicer;Cooking;
Miele DA 61;0,9126179909779379;166,55278335347367;16;10,409548959592104;Kitchen equipment / Extractor hood / Wall mounted;Cooking;
Kitchen Stove / Bauknecht Heko 750 PT Kitchen-stove right hind;2,3057906322180868;420,8067903798008;0;0;Kitchen equipment / Kitchen stove / Kitchen stove hind right;Cooking;
Dehumidifier / Trotec TTK 50 S;0;0;71;0;Devices for enviromental improvement / Air Dehumidifier;Other;
Dryer / Miele T 8626 WP;1,627774740661794;297,0688901707774;349;0,8512002583689897;Appliances / Dryer;Drying;
Christopeit Treadmill TM 2 Pro;2,4047562715570185;438,86801955915587;200;2,1943400977957794;Health equipment / Electronic hometrainer / Treadmill;Other;
Hedge Trimmer / Bosch AHS 550-24 ST;0;0;1;0;Tools / Garden devices / Hedge trimmer;Other;
Atika LH 2500 G;0;0;30;0;Tools / Garden devices / Garden Shredder;Other;
Lawn Mower / Sabo 32-EL;0;0;127;0;Tools / Garden devices / Lawn mower;Other;
Laptop / ACER BT.00603.043 Replacement laptop battery;3,0770070667567055;561,5537896830988;17;33,03257586371169;Computers and Components / Computer / Laptop;Office;
SAT Receiver / Kathrein UFS913;0,15967378586696768;29,1404659207216;31;0,9400150297006967;Education and Entertainment equipment / Entertainment device / SAT-Receiver;TV/Audio;
Steam Iron / Phillips GC 4410;0;0;31;0;Appliances / Steam iron;Other;
TV / Phillips Goya 9770 VT;1,8194311381634687;332,04618271483304;139;2,388821458380094;Education and Entertainment equipment / Entertainment device / Television set;TV/Audio;
Washing Machine Samsung P1405J;0,5886618597166664;107,43078939829162;0;0;Appliances / Washing machine;Washing;
Asviva High End Wellness Massage Seat;0;0;7;0;Health equipment / Massage Chair;Other;
CD/DVD Player / Phillips HDR3810/31;0,19582307218339248;35,73771067346913;33;1,0829609294990645;Education and Entertainment equipment / Hifi devices / CD/DVD Player;TV/Audio;
Home Cinema System / Samsung HT-D5550;0,6804695950479456;124,18570109625007;440;0,2822402297642047;Education and Entertainment equipment / Hifi devices / Home cinema system;TV/Audio;
Digitalpiano / Kawai CN-23;0,25105573363932343;45,817671389176525;14;3,2726908135126087;Education and Entertainment equipment / Music instrument / Digital piano;Other;
Hifi System / Sharp XL-HF300PH;0;0;0;0;Education and Entertainment equipment / Hifi devices / Compact System;TV/Audio;
Hair Dryer / Braun Satin Pro 2200 Ion Care;0,35235010441507014;64,3038940557503;54;1,190812852884265;Bath devices / Hair dryer;Washing;
LED Lamp Globe E 14 Ambient 3W matt;0;0;13;0;Light;Light;
Nintendo Wii;0,03492313857968287;6,373472790792124;20;0,3186736395396062;Education and Entertainment equipment / Video game console / Nintendo Wii;TV/Audio;
Microsoft Xbox 360;0,11630738884509405;21,226098464229665;63;0,33692219784491534;Education and Entertainment equipment / Video game console / Xbox360;TV/Audio;
Egg Cooker / Russell Hobbs 14048-56 Stylo;0;0;9;0;Kitchen equipment / Egg cooker;Cooking;
Kitchen radio / AEG KRC 4323 CD;0;0;4;0;Education and Entertainment equipment / Hifi devices / Kitchen radio;TV/Audio;
Nespresso Coffee Machine, Single Cup;0;0;0;0;Kitchen equipment / Coffee equipment / Coffee machine;Cooking;
Moulinex electronic 833;0;0;0;0;Kitchen equipment / Juicer;Cooking;
Dishwasher NEFF SD6P1F (2011);1,8877041355418025;344,50600473637894;0;0;Kitchen equipment / Dishwashers;Dish washing;
Canister vacuum cleaner / Siemens VS 06 G 1831;0;0;48;0;Appliances / Vacuum cleaner / Canister vacuum cleaner;Other;
Liebherr CBNPes 3956;1,6894358780578231;308,3220477455527;0;0;(no category);Cooling;
PC / Acer Aspire T310;0,2891435278581699;52,768693834116;0;0;Computers and Components / Computer / PC;Office;
