Apparent.Time;Calender;Calender for Excel;Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday;
0;00:00:00;'00:00:00;51,39839795318578;;;231,37122376852784;52,30685776786033;196,92186413277022;52,76708568530871;
1;00:01:00;'00:01:00;51,06168164172175;;;232,60760179772228;50,87942828979475;117,96384152597798;52,03947501916955;
2;00:02:00;'00:02:00;51,65684068244788;;;224,3960604403711;51,35918922998609;118,55181620314333;53,314856056987836;
3;00:03:00;'00:03:00;54,50371756788499;;;237,6248698952406;50,824578232773526;112,60359453706083;50,2025392653602;
4;00:04:00;'00:04:00;51,920677285657504;;;237,23596842376153;50,47255796776993;108,10120285112343;51,59708079527802;
5;00:05:00;'00:05:00;50,419249849992866;;;230,6547841778881;51,38490365913887;116,39844182090098;52,99547380925263;
6;00:06:00;'00:06:00;51,609191034902224;;;243,57157989338265;51,81660693541111;118,11529795142438;53,672937092567985;
7;00:07:00;'00:07:00;52,07983597371183;;;234,16134483276193;51,76501796311978;123,71160118870614;50,9860220948914;
8;00:08:00;'00:08:00;49,98014811442065;;;233,39641502470937;52,7923674513382;107,63594310903993;50,39707603519177;
9;00:09:00;'00:09:00;50,0321658749391;;;237,40401205420142;51,158865387162415;118,8185257163991;51,92435292380858;
10;00:10:00;'00:10:00;51,96031614146772;;;222,51351570462825;53,26365463461408;246,15515102755765;51,798832227750154;
11;00:11:00;'00:11:00;50,973442385897755;;;240,30357592197134;51,84023311110262;250,0716145697209;51,31000298312169;
12;00:12:00;'00:12:00;51,011136490100384;;;228,84598045559284;53,70734453963643;257,2393603802292;53,041578895457775;
13;00:13:00;'00:13:00;51,6214813228379;;;227,82544647882204;50,57180531711708;277,5500524571862;53,35574096650179;
14;00:14:00;'00:14:00;53,44776897529828;;;242,34719557336112;51,36778275913787;248,35664161871924;50,86440002463077;
15;00:15:00;'00:15:00;52,1300801529483;;;241,04893072035458;52,195672211100934;256,7973551884764;52,934566789490745;
16;00:16:00;'00:16:00;53,472548203788776;;;238,14456682016254;52,24294610130374;261,96581478298225;50,93615389039453;
