Inner Device Heat Gains.Time;Calender;Calender for Excel;Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday;
0;00:00:00;'00:00:00;67,37650423845787;;;218,58806411556392;61,576963564877495;128,79841181046342;64,09363083641905;
1;00:01:00;'00:01:00;60,39124740297021;;;213,47737109011072;65,85183767881965;137,23320396651783;66,89706412024975;
2;00:02:00;'00:02:00;63,42078477527838;;;217,80003309000412;62,611407423671665;131,9251234081477;59,74236305640898;
3;00:03:00;'00:03:00;65,44290822412916;;;213,30192682007655;63,6414823379699;123,81738359309207;64,53819260327896;
4;00:04:00;'00:04:00;61,20597062870217;;;210,83835040294633;62,34112346087114;129,10970827337763;65,35777413506665;
5;00:05:00;'00:05:00;68,20152006520439;;;212,366283323219;58,64782002900122;139,9980445951802;58,78846472259335;
6;00:06:00;'00:06:00;63,01691973153427;;;216,25110406674602;63,23466913720589;122,38807502074462;62,728796501567196;
7;00:07:00;'00:07:00;64,44441797646714;;;219,88443606505643;62,778204512060924;129,62085344753885;62,81443222705766;
8;00:08:00;'00:08:00;61,85811847311984;;;213,45356628286413;58,545021757396206;137,44709445909538;59,28956090973155;
9;00:09:00;'00:09:00;61,289615592662145;;;214,94544300165134;62,04180195117621;142,73017548948584;59,880686761692075;
10;00:10:00;'00:10:00;59,99619903378627;;;214,12961688690615;62,43184751872551;120,07654718305287;65,39632449571715;
11;00:11:00;'00:11:00;64,71688654604603;;;218,98379849701257;65,3400221953312;134,80821627050958;61,9432350446186;
12;00:12:00;'00:12:00;60,90389473092472;;;220,2742351513468;65,39140464143969;135,63125902433848;65,0359367380259;
13;00:13:00;'00:13:00;61,20217082997882;;;219,7203433947367;66,46977534022047;62,67742406725917;65,40076936311212;
14;00:14:00;'00:14:00;65,88659796464412;;;215,33130667577976;63,26124848944595;66,90151577013884;61,3385106201423;
15;00:15:00;'00:15:00;63,24292474156747;;;213,12694046058394;64,0600568000456;62,783344603012544;64,79355264314988;
16;00:16:00;'00:16:00;55,81082106674906;;;215,7144757187512;60,550929301207134;63,864577570612;62,87455609724929;
17;00:17:00;'00:17:00;61,35526514976148;;;215,93989998224012;60,4392757763147;64,7959080301285;65,43480699937938;
18;00:18:00;'00:18:00;62,330360404176005;;;209,1808021865544;71,8111227212251;63,262704083901404;68,6522141886943;
19;00:19:00;'00:19:00;62,30452979230682;;;221,333941927024;66,47702788820649;64,76858384856025;67,95369359304173;
20;00:20:00;'00:20:00;64,78429279880704;;;220,59236275171978;58,71893596867056;62,00088273194906;65,8848852300665;
21;00:21:00;'00:21:00;61,370238499254484;;;204,5267904079483;63,10663877324559;59,85234708316938;61,1680827542567;
22;00:22:00;'00:22:00;56,91976071286491;;;217,44397951345573;67,3851215062709;62,164730073089224;63,932065225790375;
23;00:23:00;'00:23:00;62,724944919331506;;;220,34310873097454;68,85725816532636;62,907583641653474;59,140867402236665;
24;00:24:00;'00:24:00;65,07116676595513;;;215,85672727316236;68,60004771277053;58,962220662592046;66,894220302218;
25;00:25:00;'00:25:00;62,73163604193452;;;217,48983790137862;68,10151850822275;65,03418474789783;65,11342032847446;
26;00:26:00;'00:26:00;64,61319193673555;;;220,4499184264678;62,40533677615589;61,742199854855706;65,68080846493187;
27;00:27:00;'00:27:00;65,1527875561879;;;215,46098367223505;63,847032797140805;62,811148877388526;62,394902169180384;
28;00:28:00;'00:28:00;65,5209235058918;;;209,5438306342119;57,77551221554844;62,964686202391206;64,19145241636579;
29;00:29:00;'00:29:00;68,67408527103194;;;216,08613031460283;65,42980276596666;64,97863922962613;61,09039830551046;
30;00:30:00;'00:30:00;62,626195187143715;;;215,64673538017627;61,35725749630631;65,30828528903366;60,834421896409125;
31;00:31:00;'00:31:00;60,66220394613215;;;214,6984058335792;70,10011335381505;60,87420793606893;59,577882936575634;
32;00:32:00;'00:32:00;67,1492897585359;;;214,9176481203701;69,4198808515116;63,60804830584517;65,29975593876222;
33;00:33:00;'00:33:00;60,67201250884701;;;216,99524257629002;62,77409010252435;59,83756137773241;64,8677860045995;
34;00:34:00;'00:34:00;61,19288895496539;;;213,3939142071334;58,59523594842307;65,8866265878254;70,05407903071949;
35;00:35:00;'00:35:00;63,52060183379462;;;224,0840897881606;65,93491989927149;68,17550100194266;64,22212518788983;
36;00:36:00;'00:36:00;64,1923314589652;;;221,47534489803368;63,86825133448319;66,47185885180483;63,04295351555277;
37;00:37:00;'00:37:00;68,4242992429491;;;215,85648704271665;64,7116120910151;69,98085347881263;56,06846417058115;
38;00:38:00;'00:38:00;63,97605443296952;;;207,92221799237;62,24711294001534;60,51949299408704;68,06475614006885;
39;00:39:00;'00:39:00;59,65633102588016;;;212,5209615621947;64,05832996996742;63,78672593816219;62,72427749917533;
40;00:40:00;'00:40:00;62,152279797721;;;214,54025231887124;59,67436652649977;63,87943879487182;67,284723016774;
41;00:41:00;'00:41:00;60,93996731469216;;;218,2647840236926;56,70634064022642;63,383736830153936;63,61153786212335;
