-----
a7093fc2-ce85-4c0d-9299-514bbf2b9a9b
Bedroom;1095;0,3802083333333333;
Living room;977;0,3392361111111111;
Bath;89;0,03090277777777778;
Kitchen;257;0,08923611111111111;
Bedroom 2;0;0;
University;328;0,11388888888888889;
Singing School;134;0,04652777777777778;
Bar Location;0;0;
Supermarket;0;0;
Office Workplace 1;0;0;
-----
6b210299-87bc-4b6a-b1e9-6b370c5d4ac9
Bedroom;767;0,26631944444444444;
Living room;1261;0,4378472222222222;
Bath;200;0,06944444444444445;
Kitchen;216;0,075;
Bedroom 2;0;0;
University;436;0,15138888888888888;
Singing School;0;0;
Bar Location;0;0;
Supermarket;0;0;
Office Workplace 1;0;0;
-----
cf3f0107-05af-4aed-a0df-80d230191375
Bedroom;318;0,11041666666666666;
Living room;1592;0,5527777777777778;
Bath;166;0,05763888888888889;
Kitchen;207;0,071875;
Bedroom 2;440;0,1527777777777778;
University;0;0;
Singing School;0;0;
Bar Location;157;0,05451388888888889;
Supermarket;0;0;
Office Workplace 1;0;0;
