Reactive.Time;Calender;Calender for Excel;Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday;
0;00:00:00;'00:00:00;14,547620167109628;;;67,91188634861588;12,873134836585415;35,4874212241978;13,58934080013265;
1;00:01:00;'00:01:00;11,848133609976093;;;67,43111998452308;14,405462748903286;37,74626304751543;14,482147935844917;
2;00:02:00;'00:02:00;12,48585833920831;;;69,25721352818879;13,028375329432121;36,14948218717719;12,197345955090363;
3;00:03:00;'00:03:00;13,231333886312395;;;67,47295369032074;12,748716033442092;34,02806895975742;13,09211630720868;
4;00:04:00;'00:04:00;11,837591171202366;;;67,64803974957496;12,899298510605528;35,2978874882883;13,989485059670685;
5;00:05:00;'00:05:00;14,53169000363174;;;67,17976029999264;11,65611897500064;39,21596479998222;11,801856870872937;
6;00:06:00;'00:06:00;13,122725468414572;;;67,25632437602505;13,338697365545288;32,942860497527036;13,027775936535022;
7;00:07:00;'00:07:00;12,650744871911161;;;68,95311197980413;12,656747305862304;35,42084308207435;12,458228621793307;
8;00:08:00;'00:08:00;12,032543842499686;;;66,94335601921676;11,558922645120061;37,97247353165171;11,543321047466424;
9;00:09:00;'00:09:00;11,904015442923;;;67,48438067652197;12,916534551179085;39,528812524313885;11,874268794115029;
10;00:10:00;'00:10:00;13,007541969311653;;;67,61649435032658;12,985293442563911;31,92703613197213;13,583655526572942;
11;00:11:00;'00:11:00;14,324053192279067;;;68,48974096276298;13,677716680412644;36,92108756802705;13,168700374852783;
12;00:12:00;'00:12:00;13,008884573981147;;;68,68000099695574;14,26406801081434;37,47082100997363;14,071845797943931;
13;00:13:00;'00:13:00;13,151711865048695;;;68,70801676801123;14,355991871411472;13,233152660694554;14,074464004286027;
14;00:14:00;'00:14:00;14,592208358097674;;;67,39053309045245;13,072855408371746;14,875365964851957;12,01140231983305;
15;00:15:00;'00:15:00;13,48630347487205;;;66,63344117265008;12,69687701241472;13,337830412424292;13,237793701425941;
16;00:16:00;'00:16:00;11,256838144701312;;;67,30670068562586;11,903405040452117;12,981908119585025;13,22302698353294;
17;00:17:00;'00:17:00;13,23210243522568;;;68,05286560559013;12,418230248674455;14,249901067677497;13,216759996658093;
