Device;Load Type;Profile;Number of Activations
Bar;None;04 h 0 min 100% [Synthetic];2
Baseball;None;06 h 0 min 100% [Synthetic];4
Bathroom Light (60W);Apparent;Bath - light [Synthetic for Light Device];17
Bathroom Light (60W);Electricity;Bath - light [Synthetic for Light Device];17
Bathroom Light (60W);Inner Device Heat Gains;Bath - light [Synthetic for Light Device];17
Bathroom Light (60W);Reactive;Bath - light [Synthetic for Light Device];17
Bathroom Mirror Light 100W (Conventional);Apparent;Bath - light [Synthetic for Light Device];17
Bathroom Mirror Light 100W (Conventional);Electricity;Bath - light [Synthetic for Light Device];17
Bathroom Mirror Light 100W (Conventional);Inner Device Heat Gains;Bath - light [Synthetic for Light Device];17
Bathroom Mirror Light 100W (Conventional);Reactive;Bath - light [Synthetic for Light Device];17
Bathroom Sink 5 L/Min;Warm Water;0 h 01 min 100% [Synthetic];56
Bathroom Sink 5 L/Min;Warm Water;0 h 01 min 50% [Synthetic];14
Bed 1;None;08 h 0 min 100% [Synthetic];5
Bed 2;None;08 h 0 min 100% [Synthetic];4
Bed 8;None;08 h 0 min 100% [Synthetic];4
Bedroom Light (60W);Apparent;Bedroom - light [Synthetic for Light Device];380
Bedroom Light (60W);Electricity;Bedroom - light [Synthetic for Light Device];380
Bedroom Light (60W);Inner Device Heat Gains;Bedroom - light [Synthetic for Light Device];380
Bedroom Light (60W);Reactive;Bedroom - light [Synthetic for Light Device];380
Board Games;None;01 h 0 min 100% [Synthetic];3
Book;None;0 h 01 min 100% [Synthetic];449
CD/DVD Player / Philips DVDR 725 H;Apparent;01 h 30 min 100% [Synthetic];2
CD/DVD Player / Philips DVDR 725 H;Apparent;Standby TV / Receiver 1 h 0 min 3% [Synthetic];120
CD/DVD Player / Philips DVDR 725 H;Electricity;01 h 30 min 100% [Synthetic];2
CD/DVD Player / Philips DVDR 725 H;Electricity;Standby TV / Receiver 1 h 0 min 3% [Synthetic];120
CD/DVD Player / Philips DVDR 725 H;Inner Device Heat Gains;01 h 30 min 100% [Synthetic];2
CD/DVD Player / Philips DVDR 725 H;Inner Device Heat Gains;Standby TV / Receiver 1 h 0 min 3% [Synthetic];120
CD/DVD Player / Philips DVDR 725 H;Reactive;01 h 30 min 100% [Synthetic];2
CD/DVD Player / Philips DVDR 725 H;Reactive;Standby TV / Receiver 1 h 0 min 3% [Synthetic];120
Cleanser;None;01 h 0 min 100% [Synthetic];1
Cloth Drying Rack;None;0 h 20 min 100% [Synthetic];2
