Apparent.Time;Time span;Bathroom Light (20W) [VA];Bathroom Mirror Light 100W (Conventional) [VA];Kitchen Light (60W) [VA];Living Room Light (Energy Saving Lamp, 20W) [VA];Bedroom Light (200W) [VA];Toaster / Bosch TAT8SL1 [VA];Kitchen Stove / Bauknecht Heko 750 PT Kitchen stove front left [VA];Electric Kettle / Phillips Essential HD 4685/90 Schwarz [VA];Westinghouse Fanaway [VA];Clatronic MS 3249 Milk Foamer [VA];Nespresso Coffee Machine, Single Cup [VA];PC / Acer Aspire M3640 [VA];PC Monitor / Fujitsu Siemens Scaleoview H19-1 [VA];Epson Stylus Color 860 [VA];TASKalfa 180 [VA];Canon CanoScan LIDE 110 [VA];External Harddrive Iomega 3.5" [VA];Extractor Hood / Miele DA 429-4 [VA];Kitchen radio / AEG KRC 4323 CD [VA];Kitchen Stove / Bauknecht Heko 750 PT Kitchen stove left hind- semi aktiv [VA];Microwave / Panasonic NN 5259 [VA];Oven / AEG B 33512-5-M [VA];Miele DA 61 [VA];Kitchen Stove / Bauknecht Heko 750 PT Kitchen-stove right hind [VA];Bauknecht GTM 2511 [VA];Dehumidifier / Trotec TTK 50 S [VA];Dishwasher Whirlpool 45cm from Ikea [VA];Miele T 495 C [VA];Electronic hometrainer / Kettler Track Perfomance [VA];Coffee Machine / Braun Impression KF 600 [VA];Electric Kettle / Petra WK288 1.5L [VA];Washing Machine AEG Lavamat 54610 [VA];Tectro TP 020 [VA];Sony PlayStation 3 [VA];TV Samsung LED UE40 B7090 [VA];Osram Light Bulb Classic A 60W [VA];CD/DVD Player / Phillips CD 380 [VA];SAT Receiver / Kathrein UFS913 [VA];Siemens VS 91143 S Super 911 [VA];Siemens Kl 20 LA 65 (A+) [VA];Router O2 Box 6431 [VA];Electric Razor / Phillips PT860/16 Razor PowerTouch Plus [VA];Electric Toothbrush Dondodent Professional Clean [VA];Smartphone Samung S4 [VA];Yamaha RX-V667 [VA];
0;00:00:00;0;-151,30210347436986;0;0;0;0;0;0;0;0;0;3,433045040438564;0,9711858846835844;0,13469701452619628;1,683480578493775;0;0;0;0,8897736207377834;0;7,469987056600357;0;0;0;0;0;0;0;0;0;0;0;0;2,9839358652899612;2,5;0;0,6048585445188571;0,7876679540530553;0;0;11,3268114754098;0,14498375947405112;4,01463278688525;0;7,8472607056249855;
1;00:01:00;0;-111,5421221101163;0;0;0;0;0;0;0;0;0;3,773468213160529;0,9932346854059658;0,15964842352013195;1,7447586116689673;0;0;0;0,9204099364544879;0;7,9678460849717005;0;0;0;0;0;0;0;0;0;0;0;0;3,0438537888658037;2,5;0;0,6173969423024058;0,830903438492589;0;0;11,3268114754098;0,1534259695578946;4,01463278688525;0;7,879138613451495;
2;00:02:00;0;-102,08334730407432;0;0;0;0;0;0;0;0;0;3,806966317492595;1,0451205774143373;0,16492078432947843;1,754820181791559;0;0;0;0,9623781719262539;0;8,09196184049925;0;0;0;0;0;0;0;0;0;0;0;0;3,181687731636277;2,5;0;0,6221908011377257;0,8666140912071474;0;0;11,3268114754098;0,15409548798481987;4,01463278688525;0;7,9915553550123954;
3;00:03:00;0;-100,62724232615614;0;0;0;0;0;0;0;0;0;3,8205093177049876;1,056217709460539;0,16940247651235485;1,7756101460698352;0;0;0;0,9783603434065773;0;8,187115192460743;0;0;0;0;0;0;0;0;0;0;0;0;3,262746219749456;2,5;0;0,6229411237442701;0,9598065382679897;0;0;11,3268114754098;0,15592147389465175;4,01463278688525;0;8,38411833906474;
4;00:04:00;0;-94,00697775397232;0;0;0;0;0;0;0;0;0;3,8395146440269423;1,0590002368617981;0,17091442729233525;1,7819062592518295;0;0;0;0,9788408797845863;0;8,317073126290408;0;0;0;0;0;0;0;0;0;0;0;0;3,327267978971428;2,5;0;0,6247561698771653;0,9866576100025701;0;0;11,3268114754098;0,15638746139339307;4,01463278688525;0;8,430430969650288;
5;00:05:00;0;-83,8618464261798;0;0;0;0;0;0;0;0;0;3,914303146653391;1,074576698473965;0,17095863683132936;1,8006328283875126;0;0;0;0,9827730010034789;0;8,400967181148769;0;0;0;0;0;0;0;0;0;0;0;0;3,3353640612656545;2,5;0;0,6273302357485612;0,9969755976355893;0;0;11,3268114754098;0,15647263690068625;4,01463278688525;0;8,595757989461044;
6;00:06:00;0;-79,65370756943645;0;0;0;0;0;0;0;0;0;3,9680529284881367;1,0749945961684542;0,17414134242160148;1,8274485922208867;0;0;0;0,993578681415757;0;8,411392042283554;0;0;0;0;0;0;0;0;0;0;0;0;3,343605414804899;2,5;0;0,6354518962828282;1,0014350370039564;0;0;11,3268114754098;0,15657054768801068;4,01463278688525;0;8,612788084901558;
7;00:07:00;0;-73,71190785862223;0;0;0;0;0;0;0;0;0;3,975111917083351;1,088827999451473;0,17483934931594158;1,8313224486519146;0;0;0;1,0049902301757077;0;8,434795559555674;0;0;0;0;0;0;0;0;0;0;0;0;3,3746354243431034;2,5;0;0,6436513065927898;1,006908092531597;0;0;11,3268114754098;0,15672429491356374;4,01463278688525;0;8,707700178060676;
8;00:08:00;0;-61,07030767618753;0;0;0;0;0;0;0;0;0;3,980331754297607;1,0907577528943233;0,17586207998623204;1,844123271126398;0;0;0;1,0054260629536687;0;8,485260270123737;0;0;0;0;0;0;0;0;0;0;0;0;3,3965754031728213;2,5;0;0,652707714933729;1,0116243626366201;0;0;11,3268114754098;0,15712117757796323;4,01463278688525;0;8,732058334782433;
9;00:09:00;0;-59,51043542567505;0;0;0;0;0;0;0;0;0;3,984137834349533;1,1098633553943882;0,17622541260769728;1,8517729575987714;0;0;0;1,0096948268058648;0;8,537596970835555;0;0;0;0;0;0;0;0;0;0;0;0;3,4047729540606615;2,5;0;0,664546836133413;1,0121912907054855;0;0;11,3268114754098;0,15801045211121262;4,01463278688525;0;8,80510231204517;
